Atk Average Speed,Vo Average Speed,Atk Entry Time,Atk Exit Time,AtK Sim Time,Vo Entry Time,Vo Exit Time,Vo Sim Time,Attacker Messages,Atk First Msg Time,Atk Last Msg Time,AtK Msg Duration,Total Msg Time < 100,MHID,Less than 100
20.56020618556701,19.64450980392157,901,997,96,907,1008,101,18,945.000247284972,962.000237144496,16.99998985952402,2.9999990403970287,h0,4
19.414951456310682,20.381122448979593,901,1003,102,907,1004,97,17,947.000242378032,963.000241157949,15.99999877991695,2.99999889952403,h0,4
13.130460526315789,21.52236559139785,901,1052,151,907,999,92,21,946.000238311993,966.000240172563,20.000001860570023,4.999994041789023,h0,6
17.913063063063063,20.456326530612245,901,1011,110,907,1004,97,19,946.000238280936,964.000245207812,18.00000692687604,4.000002896131946,h0,5
19.894799999999996,20.476224489795918,901,1000,99,907,1004,97,20,949.000237317738,968.000235212472,18.999997894734065,3.999990098642911,h0,5
17.791071428571428,17.97594594594595,901,1012,111,907,1017,110,22,953.000240321532,974.000246159038,21.000005837506023,5.000007037848945,h0,6
20.25418367346939,20.450309278350513,901,998,97,907,1003,96,20,943.000239347499,962.000237257463,18.99999790996401,2.9999989584939613,h0,4
19.260769230769235,23.093953488372094,901,1004,103,907,992,85,19,942.000235337095,960.000242254532,18.000006917437076,4.00000293486994,h0,5
18.155454545454546,19.296796116504854,901,1010,109,907,1009,102,22,954.00024436806,975.000237178529,20.999992810469053,4.999994057781009,h0,6
25.280632911392406,20.660927835051545,901,979,78,907,1003,96,15,942.000235357206,956.000239210848,14.000003853642056,2.999998979020006,h0,4
19.8326,16.92813559322034,901,1000,99,907,1024,117,23,953.000240383121,975.000237234047,21.99999685092598,3.9999900080739508,h0,5
18.83566037735849,21.586451612903222,901,1006,105,907,999,92,18,950.00024131936,967.0002442548,17.000002935439966,2.9999989191879877,h0,4
20.46123711340206,20.164040404040403,901,997,96,907,1005,98,19,943.000239326476,961.000246258179,18.000006931702956,4.000002957899937,h0,5
19.649607843137257,18.022522522522525,901,1002,101,907,1017,110,24,954.000244316807,977.000245243031,23.00000092622406,4.999994046926986,h0,6
21.232553191489366,16.901949152542375,901,994,93,907,1024,117,20,946.000238298733,965.000236220347,18.999997921613954,4.00000311011695,h0,5
22.83563218390805,19.630396039603962,901,987,86,907,1007,100,17,943.000239374964,959.000238140964,15.999998765999976,4.000002995551085,h0,5
19.67792079207921,20.89020833333333,901,1001,100,907,1002,95,20,944.000243260156,963.000241256983,18.999997996827005,4.99999403128902,h0,6
19.637821782178218,19.999100000000002,901,1001,100,907,1006,99,20,947.000242282097,966.000240209003,18.999997926905962,4.000003109259978,h0,5
21.29797872340426,19.316796116504854,901,994,93,907,1009,102,19,951.000245320051,969.000239244895,17.999993924844034,2.9999990008590203,h0,4
20.769166666666667,15.340230769230772,901,996,95,907,1036,129,22,954.000244321947,975.000237157091,20.999992835143985,4.000003001743039,h0,5
16.819322033898302,20.356020408163264,901,1018,117,907,1004,97,20,948.000246343561,967.000244165222,18.999997821661054,4.000003071261062,h0,5
13.103529411764706,24.927375,901,1053,152,907,986,79,22,945.000247345933,966.000240163264,20.999992817331076,5.000006947102065,h0,6
23.65309523809524,21.85010989010989,901,984,83,907,997,90,15,947.000242357474,961.000246234465,14.000003876990945,1.999994970631974,h0,3
18.290091743119266,20.40571428571429,901,1009,108,907,1004,97,20,949.000237342678,968.000235246784,18.999997904105953,4.000002982302931,h0,5
21.320752688172046,23.601999999999997,901,993,92,907,991,84,17,943.000239312373,959.000238245256,15.999998932883045,2.999999064723056,h0,4
18.03306306306306,18.494907407407407,901,1011,110,907,1014,107,20,945.000247300652,964.000245146793,18.999997846141014,4.000002976951009,h0,5
20.926105263157897,19.637156862745098,901,995,94,907,1008,101,17,946.000238330415,962.00023719016,15.999998859745006,2.999999037808948,h0,4
17.830892857142857,20.5440206185567,901,1012,111,907,1003,96,19,953.000240255957,971.000247189138,18.000006933180998,4.000002932803,h0,5
21.877692307692303,18.514999999999997,901,991,90,907,1014,107,20,941.000244277396,960.000242189293,18.999997911897026,4.000003074644951,h0,5
18.65981308411215,18.045135135135133,901,1007,106,907,1017,110,23,949.000237304325,971.000247195042,22.000009890717024,4.999994029961954,h0,6
