LOS,a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
C,0.40000000000000036,20,huber,0.4,0.8735105721930236,0.15923668588995796,0.7142738863030657
C,0.30000000000000027,20,huber,0.4,0.8827717445223777,0.1702364410849727,0.712535303437405
C,0.5,20,huber,0.4,0.858403611730026,0.14982035388088402,0.708583257849142
C,0.10000000000000009,20,huber,0.4,0.8947800797543972,0.1865943886264383,0.7081856911279589
C,0.20000000000000018,20,huber,0.4,0.8854268671775005,0.17847507953478145,0.706951787642719
C,0.30000000000000027,20,huber,0.5,0.901571806546124,0.1957536101336511,0.7058181964124729
C,0.40000000000000036,20,huber,0.5,0.8901384251127427,0.18481732972672252,0.7053210953860202
C,0.0,20,huber,0.4,0.8968226862706878,0.19417643274010218,0.7026462535305856
C,0.5,20,huber,0.5,0.8690906697049393,0.16814080074902402,0.7009498689559153
C,-0.09999999999999987,20,huber,0.4,0.8973998868478885,0.1967376684257379,0.7006622184221506
C,0.40000000000000036,20,huber,0.6000000000000001,0.8939723326547842,0.19363596997446642,0.7003363626803177
C,0.6000000000000001,20,huber,0.4,0.8413136096815382,0.14113238154045596,0.7001812281410823
C,-0.19999999999999996,20,huber,0.4,0.8988879820859837,0.2000082654170039,0.6988797166689799
C,0.20000000000000018,20,huber,0.5,0.9055992660147599,0.20746354507131348,0.6981357209434464
C,0.6000000000000001,20,huber,0.5,0.8546831766132357,0.1567026702693945,0.6979805063438411
C,0.5,15,mae,0.2,0.8647028997651711,0.16845096767621598,0.6962519320889551
C,0.5,15,hausdorff,0.2,0.8647028997651711,0.16845096767621598,0.6962519320889551
C,0.5,15,rmse,0.2,0.8647028997651711,0.16845096767621598,0.6962519320889551
C,0.5,20,huber,0.6000000000000001,0.876971497232896,0.18079560093080563,0.6961758963020904
C,0.0,15,huber,0.4,0.8414772692386681,0.14606269089105559,0.6954145783476124
C,0.7000000000000002,20,huber,0.5,0.8401873361963428,0.14497927418500978,0.695208062011333
C,0.20000000000000018,15,mae,0.2,0.890022095806644,0.1949842316959943,0.6950378641106497
C,0.20000000000000018,15,rmse,0.2,0.890022095806644,0.1949842316959943,0.6950378641106497
C,0.20000000000000018,15,hausdorff,0.2,0.890022095806644,0.1949842316959943,0.6950378641106497
C,0.20000000000000018,15,huber,0.4,0.83724747125887,0.14227716536557108,0.6949703058932989
C,-0.19999999999999996,15,huber,0.4,0.8427239292771941,0.1478918798057585,0.6948320494714356
C,-0.09999999999999987,15,huber,0.4,0.842579629132894,0.14778067602482992,0.694798953108064
C,0.30000000000000027,15,huber,0.4,0.8325284153749535,0.13784108804844103,0.6946873273265124
C,-0.2999999999999998,20,huber,0.4,0.8997537829517847,0.2052246122854066,0.6945291706663781
C,0.40000000000000036,15,mae,0.2,0.87321867771136,0.17895394701711204,0.694264730694248
C,0.40000000000000036,15,hausdorff,0.2,0.87321867771136,0.17895394701711204,0.694264730694248
C,0.40000000000000036,15,rmse,0.2,0.87321867771136,0.17895394701711204,0.694264730694248
C,0.10000000000000009,15,huber,0.4,0.8385461725575714,0.14436928196080456,0.6941768905967668
C,0.7000000000000002,20,huber,0.4,0.828118171726742,0.13400484222132444,0.6941133295054175
C,0.30000000000000027,20,huber,0.6000000000000001,0.9022555264210202,0.20867098486934843,0.6935845415516718
C,0.30000000000000027,15,mae,0.2,0.8820054633163275,0.1885215188068226,0.6934839445095049
C,0.30000000000000027,15,rmse,0.2,0.8820054633163275,0.1885215188068226,0.6934839445095049
C,0.30000000000000027,15,hausdorff,0.2,0.8820054633163275,0.1885215188068226,0.6934839445095049
C,0.10000000000000009,15,hausdorff,0.2,0.8945095119852368,0.20126908034681584,0.6932404316384209
C,0.10000000000000009,15,rmse,0.2,0.8945095119852368,0.20126908034681584,0.6932404316384209
C,0.10000000000000009,15,mae,0.2,0.8945095119852368,0.20126908034681584,0.6932404316384209
C,0.5,20,huber,0.7000000000000001,0.87722355268232,0.18445191103734482,0.6927716416449752
C,0.0,15,mae,0.2,0.8975266968206034,0.204760332430424,0.6927663643901794
C,0.0,15,hausdorff,0.2,0.8975266968206034,0.204760332430424,0.6927663643901794
C,0.0,15,rmse,0.2,0.8975266968206034,0.204760332430424,0.6927663643901794
C,0.10000000000000009,20,huber,0.5,0.9095116036770976,0.21702725653784752,0.6924843471392501
C,0.6000000000000001,15,hausdorff,0.2,0.8531298209327339,0.16075106610618956,0.6923787548265443
C,0.6000000000000001,15,mae,0.2,0.8531298209327339,0.16075106610618956,0.6923787548265443
C,0.6000000000000001,15,rmse,0.2,0.8531298209327339,0.16075106610618956,0.6923787548265443
C,0.40000000000000036,20,huber,0.7000000000000001,0.8920703652265008,0.19995830019778887,0.692112065028712
C,0.40000000000000036,15,huber,0.4,0.8226028611312174,0.13115875231919868,0.6914441088120187
C,-0.09999999999999987,15,rmse,0.2,0.9001691932130997,0.20892763499373523,0.6912415582193645
C,-0.09999999999999987,15,hausdorff,0.2,0.9001691932130997,0.20892763499373523,0.6912415582193645
C,-0.09999999999999987,15,mae,0.2,0.9001691932130997,0.20892763499373523,0.6912415582193645
C,0.10000000000000009,15,mse,0.2,0.9017127839897331,0.21048168314976948,0.6912311008399636
C,0.0,20,huber,0.5,0.9167490153881935,0.2255912047932918,0.6911578105949017
C,0.0,15,mse,0.2,0.9084758089764422,0.2176807459718269,0.6907950630046154
C,-0.09999999999999987,15,mse,0.2,0.9148174820092918,0.22488457631412268,0.6899329056951691
C,0.5,20,huber,0.8,0.8748248475862465,0.18492649592073346,0.689898351665513
C,0.5,15,huber,0.4,0.8143311401621279,0.12481284728816423,0.6895182928739637
C,-0.19999999999999996,15,rmse,0.2,0.9010349940789005,0.21155494492316482,0.6894800491557357
C,-0.19999999999999996,15,mae,0.2,0.9010349940789005,0.21155494492316482,0.6894800491557357
C,-0.19999999999999996,15,hausdorff,0.2,0.9010349940789005,0.21155494492316482,0.6894800491557357
C,-0.19999999999999996,15,mse,0.2,0.9168600885255824,0.2279123374802292,0.6889477510453532
C,0.30000000000000027,15,mse,0.2,0.880664529789565,0.19212689696573726,0.6885376328238277
C,-0.09999999999999987,20,huber,0.5,0.9180477166868948,0.2299471912953608,0.688100525391534
C,0.7000000000000002,20,huber,0.6000000000000001,0.8400578334113376,0.1521721501646186,0.687885683246719
C,0.20000000000000018,20,huber,0.6000000000000001,0.9087984447821205,0.22098254647162582,0.6878158983104946
C,0.20000000000000018,15,mse,0.30000000000000004,0.8945521118575579,0.2070491595405265,0.6875029523170314
C,0.6000000000000001,15,huber,0.4,0.8027871286181165,0.11553778972243166,0.6872493388956848
C,0.6000000000000001,20,huber,0.6000000000000001,0.8530356158628041,0.16586073945755472,0.6871748764052493
C,-0.2999999999999998,15,mse,0.2,0.9195025849180788,0.2325924458238536,0.6869101390942252
C,0.20000000000000018,15,mse,0.2,0.8877697756866768,0.20088314454438969,0.6868866311422871
C,0.7000000000000002,20,huber,0.7000000000000001,0.840472665189102,0.15473941592951768,0.6857332492595843
C,0.10000000000000009,20,huber,0.6000000000000001,0.9179128026464783,0.23222337986804115,0.6856894227784371
C,0.30000000000000027,15,mse,0.30000000000000004,0.8793006308823929,0.1940126799952104,0.6852879508871824
C,0.5,15,mse,0.2,0.8564487628345635,0.17126806888936075,0.6851806939452028
C,0.40000000000000036,15,mse,0.2,0.8675955884969395,0.18247431487413032,0.6851212736228092
C,0.20000000000000018,15,huber,0.5,0.8550320986906267,0.1701791187307704,0.6848529799598563
C,0.10000000000000009,15,mse,0.30000000000000004,0.9018089459325738,0.2173294489176448,0.6844794970149289
C,-0.19999999999999996,20,huber,0.5,0.9191029114920897,0.23473517593477902,0.6843677355573107
C,0.6000000000000001,20,huber,0.7000000000000001,0.853806071041154,0.1695364586834926,0.6842696123576615
C,0.7000000000000002,15,hausdorff,0.2,0.8365381790135519,0.1525718219421117,0.6839663570714402
C,0.7000000000000002,15,rmse,0.2,0.8365381790135519,0.1525718219421117,0.6839663570714402
C,0.7000000000000002,15,mae,0.2,0.8365381790135519,0.1525718219421117,0.6839663570714402
C,0.30000000000000027,15,huber,0.5,0.8491998096346534,0.1652609618207342,0.6839388478139192
C,0.10000000000000009,15,huber,0.5,0.858292963642668,0.17500388513961307,0.683289078503055
C,0.40000000000000036,15,mse,0.30000000000000004,0.8660606763924382,0.18292324301019805,0.6831374333822402
C,0.0,15,huber,0.5,0.8604033532530577,0.1773427025632254,0.6830606506898323
C,0.40000000000000036,20,huber,0.8,0.8898106074404273,0.20717465035047178,0.6826359570899555
C,0.30000000000000027,20,huber,0.7000000000000001,0.8995688290168307,0.21704410058610135,0.6825247284307293
C,0.6000000000000001,20,huber,0.8,0.8527960779955573,0.170329651685912,0.6824664263096454
C,-0.2999999999999998,20,huber,0.5,0.9196801120692901,0.23756612386266465,0.6821139882066255
C,0.0,15,mse,0.30000000000000004,0.9095052039099323,0.22744230599076667,0.6820628979191656
C,0.6000000000000001,15,mse,0.2,0.8407936354463936,0.15892985150937433,0.6818637839370193
C,-0.2999999999999998,15,huber,0.4,0.8448066613599262,0.1629912238076435,0.6818154375522827
C,0.20000000000000018,15,rmse,0.30000000000000004,0.90823888760175,0.22646321817103476,0.6817756694307152
C,0.20000000000000018,15,mae,0.30000000000000004,0.90823888760175,0.22646321817103476,0.6817756694307152
C,0.20000000000000018,15,hausdorff,0.30000000000000004,0.90823888760175,0.22646321817103476,0.6817756694307152
C,-0.2999999999999998,15,huber,0.5,0.8618615441849329,0.18022260955200028,0.6816389346329326
C,-0.19999999999999996,15,huber,0.5,0.8617172440406328,0.18015813501944064,0.6815591090211921
C,0.5,15,huber,0.5,0.8264058488576502,0.14488972241834014,0.6815161264393101
C,-0.09999999999999987,15,huber,0.5,0.8615729438963324,0.1800747321837442,0.6814982117125883
C,-0.2999999999999998,15,rmse,0.2,0.9025333105772172,0.2218670016886563,0.680666308888561
C,-0.2999999999999998,15,mae,0.2,0.9025333105772172,0.2218670016886563,0.680666308888561
C,-0.2999999999999998,15,hausdorff,0.2,0.9025333105772172,0.2218670016886563,0.680666308888561
C,0.40000000000000036,15,huber,0.5,0.8375882997994593,0.15717122988961368,0.6804170699098455
C,0.10000000000000009,15,hausdorff,0.30000000000000004,0.9139137583184866,0.2347245283050013,0.6791892300134854
C,0.10000000000000009,15,rmse,0.30000000000000004,0.9139137583184866,0.2347245283050013,0.6791892300134854
C,0.10000000000000009,15,mae,0.30000000000000004,0.9139137583184866,0.2347245283050013,0.6791892300134854
C,0.40000000000000036,15,hausdorff,0.30000000000000004,0.8900507557353885,0.21091591289963704,0.6791348428357514
C,0.40000000000000036,15,mae,0.30000000000000004,0.8900507557353885,0.21091591289963704,0.6791348428357514
C,0.40000000000000036,15,rmse,0.30000000000000004,0.8900507557353885,0.21091591289963704,0.6791348428357514
C,0.8000000000000003,15,mae,0.2,0.8215078345573702,0.1425536278196226,0.6789542067377476
C,0.8000000000000003,15,hausdorff,0.2,0.8215078345573702,0.1425536278196226,0.6789542067377476
C,0.8000000000000003,15,rmse,0.2,0.8215078345573702,0.1425536278196226,0.6789542067377476
C,0.30000000000000027,15,rmse,0.30000000000000004,0.8975148236540018,0.21868108927919438,0.6788337343748074
C,0.30000000000000027,15,mae,0.30000000000000004,0.8975148236540018,0.21868108927919438,0.6788337343748074
C,0.30000000000000027,15,hausdorff,0.30000000000000004,0.8975148236540018,0.21868108927919438,0.6788337343748074
C,0.7000000000000002,15,huber,0.4,0.7863183844488376,0.1077280340514508,0.6785903503973868
C,0.5,15,rmse,0.30000000000000004,0.877733146444095,0.19949513514190859,0.6782380113021864
C,0.5,15,mae,0.30000000000000004,0.877733146444095,0.19949513514190859,0.6782380113021864
C,0.5,15,hausdorff,0.30000000000000004,0.877733146444095,0.19949513514190859,0.6782380113021864
C,0.20000000000000018,20,huber,0.7000000000000001,0.9104584709158308,0.2323563421635758,0.678102128752255
C,-0.09999999999999987,15,mse,0.30000000000000004,0.9165632847180131,0.23878034084690725,0.6777829438711058
C,0.6000000000000001,15,hausdorff,0.30000000000000004,0.8645354128051848,0.18710997290653747,0.6774254398986472
C,0.6000000000000001,15,mae,0.30000000000000004,0.8645354128051848,0.18710997290653747,0.6774254398986472
C,0.6000000000000001,15,rmse,0.30000000000000004,0.8645354128051848,0.18710997290653747,0.6774254398986472
C,0.5,15,mse,0.30000000000000004,0.8492906453893647,0.1722875836939314,0.6770030616954333
C,0.8000000000000003,20,huber,0.5,0.8093434682401752,0.13260875844977021,0.6767347097904051
C,0.30000000000000027,20,huber,0.8,0.8991431435911453,0.22279014002689962,0.6763530035642458
C,0.6000000000000001,15,huber,0.5,0.8114497401515414,0.13647328735763714,0.6749764527939042
C,0.20000000000000018,15,mse,0.4,0.8833932680432118,0.20848414926724365,0.6749091187759682
C,0.0,20,huber,0.6000000000000001,0.9203810945884546,0.2456362547323063,0.6747448398561483
C,0.5,20,huber,0.9,0.8632659443864763,0.18888119539239973,0.6743847489940766
C,-0.19999999999999996,15,mse,0.30000000000000004,0.9216137897685182,0.24727636169628278,0.6743374280722354
C,0.0,15,hausdorff,0.30000000000000004,0.9190742922290206,0.2453325463737941,0.6737417458552265
C,0.0,15,mae,0.30000000000000004,0.9190742922290206,0.2453325463737941,0.6737417458552265
C,0.0,15,rmse,0.30000000000000004,0.9190742922290206,0.2453325463737941,0.6737417458552265
C,0.10000000000000009,15,mse,0.4,0.8940831921541885,0.2215052140095864,0.6725779781446022
C,0.9000000000000004,15,hausdorff,0.2,0.8009742433479417,0.12839966639258357,0.672574576955358
C,0.9000000000000004,15,mae,0.2,0.8009742433479417,0.12839966639258357,0.672574576955358
C,0.9000000000000004,15,rmse,0.2,0.8009742433479417,0.12839966639258357,0.672574576955358
C,0.30000000000000027,15,mse,0.4,0.8670111779111217,0.19511460939199146,0.6718965685191303
C,0.10000000000000009,20,huber,0.7000000000000001,0.9162376916950518,0.24553617331698338,0.6707015183780684
C,0.7000000000000002,20,huber,0.8,0.8258803887786438,0.15525698940349397,0.6706233993751498
C,-0.09999999999999987,15,rmse,0.30000000000000004,0.9237279718827002,0.2533648400270906,0.6703631318556096
C,-0.09999999999999987,15,hausdorff,0.30000000000000004,0.9237279718827002,0.2533648400270906,0.6703631318556096
C,-0.09999999999999987,15,mae,0.30000000000000004,0.9237279718827002,0.2533648400270906,0.6703631318556096
C,-0.2999999999999998,15,mse,0.30000000000000004,0.9244078013125298,0.25405363325333974,0.67035416805919
C,0.30000000000000027,20,huber,0.9,0.8981312388292405,0.22795344577080764,0.6701777930584328
C,0.8000000000000003,20,huber,0.6000000000000001,0.8098434227138842,0.1397363949876944,0.6701070277261898
C,0.0,15,mse,0.4,0.9040066089376531,0.23400274155496836,0.6700038673826847
C,0.8000000000000003,15,huber,0.4,0.770434989091758,0.10114068803424218,0.6692943010575159
C,0.20000000000000018,20,huber,0.8,0.9094707744018186,0.24057499182688755,0.668895782574931
C,0.7000000000000002,15,mse,0.2,0.814210043820936,0.14563168496582113,0.6685783588551149
C,-0.09999999999999987,20,huber,0.6000000000000001,0.9213911955985555,0.253041375475686,0.6683498201228695
C,0.7000000000000002,15,huber,0.5,0.7962721036820389,0.12797307208548,0.6682990315965589
C,0.40000000000000036,15,huber,0.6000000000000001,0.8384704169734426,0.17024428756535032,0.6682261294080922
C,0.8000000000000003,20,huber,0.7000000000000001,0.8093390881538223,0.1415950225514338,0.6677440656023885
C,0.40000000000000036,20,huber,0.9,0.8790570822132178,0.21145542352374172,0.6676016586894761
C,0.30000000000000027,15,huber,0.6000000000000001,0.8476370836401091,0.1801908514658922,0.667446232174217
C,0.7000000000000002,15,mae,0.30000000000000004,0.8431912676273076,0.17590959979624876,0.6672816678310588
C,0.7000000000000002,15,rmse,0.30000000000000004,0.8431912676273076,0.17590959979624876,0.6672816678310588
C,0.7000000000000002,15,hausdorff,0.30000000000000004,0.8431912676273076,0.17590959979624876,0.6672816678310588
C,-0.09999999999999987,10,mse,0.2,0.8418642023454856,0.17470828659008036,0.6671559157554052
C,-0.19999999999999996,15,rmse,0.30000000000000004,0.9249274668321953,0.2577894170171678,0.6671380498150274
C,-0.19999999999999996,15,hausdorff,0.30000000000000004,0.9249274668321953,0.2577894170171678,0.6671380498150274
C,-0.19999999999999996,15,mae,0.30000000000000004,0.9249274668321953,0.2577894170171678,0.6671380498150274
C,-0.19999999999999996,10,mse,0.2,0.8424414029226863,0.1754019325831526,0.6670394703395337
C,0.8000000000000003,20,huber,0.4,0.7929372614620996,0.12591343512308853,0.6670238263390111
C,-0.09999999999999987,15,mse,0.4,0.9102151226461668,0.24326907511265966,0.6669460475335072
C,0.6000000000000001,15,mse,0.30000000000000004,0.8245725666401855,0.15776751322913407,0.6668050534110515
C,0.0,10,mse,0.2,0.8394038848851684,0.17306114824360924,0.6663427366415591
C,0.40000000000000036,15,mse,0.4,0.8511381620381058,0.184868523046314,0.6662696389917918
C,-0.3999999999999999,20,huber,0.4,0.9079618711598727,0.24173683865349826,0.6662250325063744
C,0.0,20,huber,0.7000000000000001,0.9211096253169853,0.25490428238886753,0.6662053429281177
C,0.9000000000000004,20,huber,0.5,0.784114442528107,0.11794418919925206,0.6661702533288549
C,0.20000000000000018,15,huber,0.6000000000000001,0.8555047642051582,0.19004051955822926,0.665464244646929
C,0.7000000000000002,20,mse,0.7000000000000001,0.8323716199338912,0.16694079420547536,0.6654308257284158
C,0.10000000000000009,10,mse,0.2,0.8345824563137396,0.16944493828294946,0.6651375180307901
C,0.10000000000000009,15,huber,0.6000000000000001,0.8607335223750929,0.1961142063354505,0.6646193160396424
C,-0.2999999999999998,15,mae,0.30000000000000004,0.9259375678422962,0.26166763016242317,0.6642699376798731
C,-0.2999999999999998,15,rmse,0.30000000000000004,0.9259375678422962,0.26166763016242317,0.6642699376798731
C,-0.2999999999999998,15,hausdorff,0.30000000000000004,0.9259375678422962,0.26166763016242317,0.6642699376798731
C,0.6000000000000001,20,huber,0.9,0.8375877337082657,0.1733682444905359,0.6642194892177298
C,0.5,15,huber,0.6000000000000001,0.8219939698869477,0.15801757602757574,0.663976393859372
C,-0.19999999999999996,20,huber,0.6000000000000001,0.9224463904037503,0.25860166075361946,0.6638447296501309
C,0.0,15,huber,0.6000000000000001,0.863094633486204,0.1992928321625899,0.6638018013236141
C,0.5,20,mse,0.7000000000000001,0.8617735302167472,0.19803572577823164,0.6637378044385156
C,-0.19999999999999996,15,mse,0.4,0.9189019913330355,0.25519955372182396,0.6637024376112115
C,0.6000000000000001,20,mse,0.7000000000000001,0.8450380534394044,0.18143903431641892,0.6635990191229855
C,-0.3999999999999999,20,huber,0.5,0.9208417282309063,0.2574623863349066,0.6633793418959997
