LOS,a,window_size,loss_func,alpha,PD_mean,FAR_mean,Youden_index
B,0.20000000000000018,15,rmse,0.2,0.8885651059961501,0.18149355831339795,0.7070715476827522
B,0.20000000000000018,15,hausdorff,0.2,0.8885651059961501,0.18149355831339795,0.7070715476827522
B,0.20000000000000018,15,mae,0.2,0.8885651059961501,0.18149355831339795,0.7070715476827522
B,0.10000000000000009,20,huber,0.4,0.8864380079479994,0.1802132121965348,0.7062247957514647
B,0.30000000000000027,15,rmse,0.2,0.8824064960875403,0.17638488770877714,0.7060216083787632
B,0.30000000000000027,15,mae,0.2,0.8824064960875403,0.17638488770877714,0.7060216083787632
B,0.30000000000000027,15,hausdorff,0.2,0.8824064960875403,0.17638488770877714,0.7060216083787632
B,0.40000000000000036,15,rmse,0.2,0.8729746779057221,0.16733906574120042,0.7056356121645218
B,0.40000000000000036,15,hausdorff,0.2,0.8729746779057221,0.16733906574120042,0.7056356121645218
B,0.40000000000000036,15,mae,0.2,0.8729746779057221,0.16733906574120042,0.7056356121645218
B,0.10000000000000009,15,rmse,0.2,0.8942000266310708,0.1888979853151716,0.7053020413158992
B,0.10000000000000009,15,mae,0.2,0.8942000266310708,0.1888979853151716,0.7053020413158992
B,0.10000000000000009,15,hausdorff,0.2,0.8942000266310708,0.1888979853151716,0.7053020413158992
B,0.20000000000000018,20,huber,0.4,0.8796414711514626,0.17507465587661353,0.7045668152748491
B,0.0,20,huber,0.4,0.8893543898117499,0.1854867145885107,0.7038676752232391
B,0.5,15,hausdorff,0.2,0.8612303184639942,0.15839956104508018,0.7028307574189141
B,0.5,15,mae,0.2,0.8612303184639942,0.15839956104508018,0.7028307574189141
B,0.5,15,rmse,0.2,0.8612303184639942,0.15839956104508018,0.7028307574189141
B,0.0,15,rmse,0.2,0.8983999203046488,0.19653044559634067,0.7018694747083081
B,0.0,15,mae,0.2,0.8983999203046488,0.19653044559634067,0.7018694747083081
B,0.0,15,hausdorff,0.2,0.8983999203046488,0.19653044559634067,0.7018694747083081
B,-0.09999999999999987,20,huber,0.4,0.8910859915433516,0.1909694838246746,0.700116507718677
B,0.6000000000000001,15,rmse,0.2,0.8500449859867958,0.15133840345329222,0.6987065825335036
B,0.6000000000000001,15,mae,0.2,0.8500449859867958,0.15133840345329222,0.6987065825335036
B,0.6000000000000001,15,hausdorff,0.2,0.8500449859867958,0.15133840345329222,0.6987065825335036
B,-0.09999999999999987,15,hausdorff,0.2,0.9013382319929604,0.2028547328297139,0.6984834991632465
B,-0.09999999999999987,15,rmse,0.2,0.9013382319929604,0.2028547328297139,0.6984834991632465
B,-0.09999999999999987,15,mae,0.2,0.9013382319929604,0.2028547328297139,0.6984834991632465
B,-0.19999999999999996,15,rmse,0.2,0.9032141338688622,0.20567901888619866,0.6975351149826635
B,-0.19999999999999996,15,hausdorff,0.2,0.9032141338688622,0.20567901888619866,0.6975351149826635
B,-0.19999999999999996,15,mae,0.2,0.9032141338688622,0.20567901888619866,0.6975351149826635
B,-0.19999999999999996,20,huber,0.4,0.8916631921205521,0.19476576637755472,0.6968974257429974
B,0.30000000000000027,20,huber,0.4,0.8627304435825404,0.1658384722087346,0.6968919713738058
B,0.5,20,huber,0.5,0.8634416329779404,0.16839429213909501,0.6950473408388453
B,0.6000000000000001,20,huber,0.7000000000000001,0.8562302332665406,0.16144193163651738,0.6947883016300231
B,0.5,20,huber,0.8,0.8755301704372912,0.18200871706912986,0.6935214533681613
B,0.10000000000000009,20,huber,0.30000000000000004,0.8331040868238307,0.13971175303986352,0.6933923337839673
B,0.0,20,huber,0.30000000000000004,0.8345543032740471,0.14124012485144793,0.6933141784225991
B,0.40000000000000036,20,huber,0.4,0.8508595367116336,0.15767588110663167,0.693183655605002
B,0.7000000000000002,15,rmse,0.2,0.8352408708266433,0.14206796336318941,0.693172907463454
B,0.7000000000000002,15,mae,0.2,0.8352408708266433,0.14206796336318941,0.693172907463454
B,0.7000000000000002,15,hausdorff,0.2,0.8352408708266433,0.14206796336318941,0.693172907463454
B,0.5,20,huber,0.6000000000000001,0.8711616906979981,0.17859614985022704,0.6925655408477711
B,0.40000000000000036,20,huber,0.6000000000000001,0.8849740452759028,0.19280037032057804,0.6921736749553248
B,0.5,20,huber,0.4,0.8395299040901348,0.14781542138979226,0.6917144827003425
B,-0.09999999999999987,20,huber,0.30000000000000004,0.8365745052942491,0.14533224431805492,0.6912422609761942
B,0.20000000000000018,20,huber,0.5,0.8923876138976055,0.20152752858100145,0.690860085316604
B,0.40000000000000036,20,huber,0.7000000000000001,0.8864526787282205,0.19571212967536677,0.6907405490528538
B,0.6000000000000001,20,huber,0.8,0.8579816645915718,0.16731936444027626,0.6906623001512955
B,-0.19999999999999996,20,huber,0.30000000000000004,0.8374403061600499,0.1468219989344145,0.6906183072256354
B,0.30000000000000027,20,huber,0.5,0.8836177726277642,0.19307499055509333,0.6905427820726708
B,0.30000000000000027,20,huber,0.6000000000000001,0.896056296358154,0.2058542408181988,0.6902020555399552
B,-0.19999999999999996,15,mse,0.1,0.86296401247323,0.17279259067917635,0.6901714217940536
B,-0.2999999999999998,20,huber,0.4,0.898589599046959,0.2085027931160506,0.6900868059309084
B,0.20000000000000018,20,huber,0.30000000000000004,0.8251907428578551,0.13520472169313938,0.6899860211647157
B,0.10000000000000009,20,huber,0.5,0.8988089703189618,0.2088518965877459,0.689957073731216
B,0.40000000000000036,20,huber,0.5,0.8702028542128458,0.1802804899036808,0.689922364309165
B,0.5,20,huber,0.7000000000000001,0.8676090591190507,0.17870718221125742,0.6889018769077933
B,0.6000000000000001,20,huber,0.5,0.8443651539014613,0.15548452221304562,0.6888806316884156
B,-0.2999999999999998,15,hausdorff,0.2,0.9048086504633788,0.21593419731530147,0.6888744531480773
B,-0.2999999999999998,15,mae,0.2,0.9048086504633788,0.21593419731530147,0.6888744531480773
B,-0.2999999999999998,15,rmse,0.2,0.9048086504633788,0.21593419731530147,0.6888744531480773
B,0.6000000000000001,20,huber,0.4,0.8255616501218809,0.13678284312181044,0.6887788070000704
B,0.6000000000000001,20,huber,0.6000000000000001,0.8491414886777959,0.16140718255996991,0.687734306117826
B,0.20000000000000018,20,huber,0.6000000000000001,0.9011829752348328,0.21352507918663582,0.6876578960481969
B,-0.09999999999999987,15,mse,0.1,0.858923608432826,0.17148018984500354,0.6874434185878224
B,0.8000000000000003,15,mae,0.2,0.8186975871123071,0.13199288555480623,0.6867047015575009
B,0.8000000000000003,15,rmse,0.2,0.8186975871123071,0.13199288555480623,0.6867047015575009
B,0.8000000000000003,15,hausdorff,0.2,0.8186975871123071,0.13199288555480623,0.6867047015575009
B,0.30000000000000027,20,huber,0.30000000000000004,0.8184068323239446,0.13217571386355673,0.6862311184603879
B,0.20000000000000018,15,huber,0.4,0.8197235260361492,0.13361945622979726,0.6861040698063519
B,0.0,15,mse,0.1,0.8550093355711846,0.16906568477653197,0.6859436507946527
B,-0.09999999999999987,15,huber,0.4,0.8262242475368706,0.1406118959888039,0.6856123515480668
B,-0.19999999999999996,15,huber,0.4,0.8262242475368706,0.1406118959888039,0.6856123515480668
B,0.40000000000000036,20,huber,0.8,0.884169856774346,0.1992203000864916,0.6849495566878544
B,0.0,15,huber,0.4,0.8253584466710697,0.14047367590676357,0.6848847707643062
B,0.10000000000000009,15,huber,0.4,0.8230424293550526,0.1384743809312349,0.6845680484238177
B,0.30000000000000027,15,huber,0.4,0.8128814207729912,0.12923118644548914,0.683650234327502
B,0.0,20,huber,0.5,0.9027274787111544,0.21957164671792742,0.683155831993227
B,0.30000000000000027,20,huber,0.7000000000000001,0.8949621517113778,0.2120927025276333,0.6828694491837446
B,0.7000000000000002,20,huber,0.7000000000000001,0.8257265807156745,0.14366372682851866,0.6820628538871558
B,0.7000000000000002,20,huber,0.8,0.8296301844219096,0.14780346583554285,0.6818267185863668
B,-0.2999999999999998,20,huber,0.30000000000000004,0.8460261647459085,0.1642753359555789,0.6817508287903297
B,0.40000000000000036,15,mse,0.2,0.8565644411904614,0.17514028029923892,0.6814241608912225
B,0.20000000000000018,15,mse,0.2,0.8798803747695529,0.1993605144045556,0.6805198603649973
B,0.40000000000000036,15,huber,0.4,0.8052190831106536,0.12487058104500634,0.6803485020656472
B,0.10000000000000009,15,mse,0.2,0.8860167384059164,0.20624418199761552,0.6797725564083009
B,0.9000000000000004,15,rmse,0.2,0.8033133879781079,0.12367384016175775,0.6796395478163502
B,0.9000000000000004,15,mae,0.2,0.8033133879781079,0.12367384016175775,0.6796395478163502
B,0.9000000000000004,15,hausdorff,0.2,0.8033133879781079,0.12367384016175775,0.6796395478163502
B,0.10000000000000009,15,mse,0.1,0.8443422322067129,0.16488479980270523,0.6794574324040077
B,0.10000000000000009,20,huber,0.6000000000000001,0.9050862941381518,0.2259370935913501,0.6791492005468016
B,0.30000000000000027,15,mse,0.2,0.8670436695644267,0.18802234284865185,0.6790213267157749
B,0.5,15,mse,0.2,0.841280777485745,0.162458480034491,0.678822297451254
B,-0.09999999999999987,20,huber,0.5,0.9053400707974307,0.226718863532449,0.6786212072649818
B,0.0,15,mse,0.2,0.892761233942278,0.2154451477523452,0.6773160861899328
B,-0.09999999999999987,15,mse,0.2,0.8994358750906034,0.22358423451532042,0.675851640575283
B,0.5,15,huber,0.4,0.7953327194742901,0.11977340664454457,0.6755593128297455
B,0.40000000000000036,20,huber,0.30000000000000004,0.8019067388501668,0.12755202732167334,0.6743547115284935
B,0.30000000000000027,15,mse,0.30000000000000004,0.863530569161374,0.18950523343406964,0.6740253357273044
B,0.20000000000000018,20,huber,0.7000000000000001,0.9008964951457211,0.2268783234810038,0.6740181716647173
B,-0.19999999999999996,20,huber,0.5,0.906494471951832,0.23277369419821262,0.6737207777536194
B,0.20000000000000018,15,mse,0.1,0.8334447405436709,0.16048061853763826,0.6729641220060326
B,0.30000000000000027,20,huber,0.8,0.8918687173679434,0.21894690334573344,0.67292181402221
B,0.8000000000000003,20,huber,0.7000000000000001,0.8020381930799184,0.12951967885832247,0.6725185142215959
B,0.40000000000000036,15,mse,0.30000000000000004,0.8485638134290682,0.17607619219057513,0.672487621238493
B,-0.19999999999999996,15,mse,0.2,0.9038608945156229,0.2315566566024936,0.6723042379131293
B,0.20000000000000018,15,mse,0.30000000000000004,0.8748975282257017,0.20263458802283205,0.6722629402028696
B,0.6000000000000001,15,mse,0.2,0.82463751542523,0.15243549925776206,0.672202016167468
B,0.0,20,huber,0.6000000000000001,0.90947482227668,0.23779670884254672,0.6716781134341332
B,0.7000000000000002,20,huber,0.5,0.8125739562711839,0.1411773452764778,0.671396610994706
B,0.7000000000000002,20,huber,0.4,0.7972260383652164,0.12597393418045097,0.6712521041847654
B,-0.2999999999999998,20,huber,0.5,0.9134208788782389,0.24280659963573664,0.6706142792425023
B,0.40000000000000036,15,rmse,0.30000000000000004,0.8743174796193371,0.2046032640495381,0.669714215569799
B,0.40000000000000036,15,hausdorff,0.30000000000000004,0.8743174796193371,0.2046032640495381,0.669714215569799
B,0.40000000000000036,15,mae,0.30000000000000004,0.8743174796193371,0.2046032640495381,0.669714215569799
B,0.30000000000000027,15,mse,0.1,0.8266474442726905,0.1569390201430375,0.669708424129653
B,0.10000000000000009,15,mse,0.30000000000000004,0.8846810512329089,0.21566503926325664,0.6690160119696522
B,0.30000000000000027,15,hausdorff,0.30000000000000004,0.8824802160057578,0.21351878602230331,0.6689614299834544
B,0.30000000000000027,15,mae,0.30000000000000004,0.8824802160057578,0.21351878602230331,0.6689614299834544
B,0.30000000000000027,15,rmse,0.30000000000000004,0.8824802160057578,0.21351878602230331,0.6689614299834544
B,0.7000000000000002,20,huber,0.6000000000000001,0.8194053166970421,0.15066620695995164,0.6687391097370905
B,0.6000000000000001,15,mae,0.30000000000000004,0.8493663074971125,0.1808125751342754,0.6685537323628371
