,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category
 Local Time,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Local Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-11-01,1.3171437208123484,1.7441332994399035,0.7068163858036066,1.147251819475569,1.7380767779281183,4.223134521721616,7.033784283982976,12.276836342826078,14.65691341282619,18.023711006567193,21.328882032662136,24.40191501570713,21.77810295926691,23.0956310975923,24.133974732936448,27.929204207708718,24.176172021447734,19.970743604211346,11.403498944916597,6.2588111919713585,4.416767293256435,4.067156681893363,2.636034478332919,2.3799303610601106,A,A,A,A,A,A,A,B,B,C,C,C,C,C,C,D,C,C,B,A,A,A,A,A
2023-11-02,1.801246532294733,1.1150550490610864,2.1034318828820435,1.3813244033662897,2.144054241498779,2.5653946121188342,6.410581349274252,11.593994892659977,13.902064376690772,17.71586327709095,18.8125789749636,22.113400161274804,21.4789386437625,21.869655575426695,23.519000322766985,24.814170662578263,19.639535781925158,18.510413611955816,10.226338408588179,6.959448518713626,5.604428338507112,3.59062110345977,4.441683601131034,3.2007109763400994,A,A,A,A,A,A,A,B,B,B,C,C,C,C,C,C,C,C,A,A,A,A,A,A
2023-11-03,1.5874919847688926,1.9538740893552287,1.9941302414144797,2.4771744592927134,1.9829892467024777,3.1982663312602124,5.233807511320031,10.522023330110352,14.892758212956052,22.071553891144593,30.17255650319655,29.33971510457786,54.766570474112214,45.177178149886544,35.60679373343859,28.504066425082375,22.98020570060324,15.973410188287838,12.60271891538146,6.8599989078960455,5.921213216508244,4.2224458632854365,3.906261126384333,3.1385482038620833,A,A,A,A,A,A,A,A,B,C,D,D,F,F,E,D,C,B,B,A,A,A,A,A
2023-11-04,2.337246305085181,1.2521517387370475,1.7837623875268611,2.1698330362263705,1.3661023797248828,1.6496752205817866,2.246391955789953,4.090201116637434,7.674144875678166,14.869987118582191,22.254824276412865,22.527587625464573,19.3426874299464,20.779216296228864,22.989794429992195,24.594042579148777,23.074250534067573,13.187817048465234,8.591982945627649,6.755196266081467,11.790430990767803,11.341225109622048,8.911942847522122,5.999946028947021,A,A,A,A,A,A,A,A,A,B,C,C,C,C,C,C,C,B,A,A,B,B,A,A
2023-11-05,7.00295568364792,4.333566755658948,2.1060597834069092,0.947177051635106,0.7949645092658242,1.1450636127043734,1.6057706790033182,2.6627046813436888,4.872890932452063,13.031596435819397,23.141214423403042,22.79319063245217,25.922167432899403,25.403127489465266,25.03825258386041,27.04516400952818,26.059971952596584,17.960379124792187,11.735109844713975,11.301866897374232,11.866601938139587,9.626284009205353,11.226995880656304,5.807848679360951,A,A,A,A,A,A,A,A,A,B,C,C,C,C,C,D,D,B,B,B,B,A,B,A
2023-11-06,2.79305213744795,2.7204221939465043,1.409575296275185,1.0421287220395876,2.007034708688185,3.2887711427557553,6.857666727855275,15.020037761359117,18.20355538622687,17.79464609904242,24.509148669696952,23.724000650258912,22.51186179934515,21.627278170216478,22.811941017020605,24.38949923792282,26.751176168447923,19.28285260593878,9.856946271869141,5.637776303628759,4.0204500956530005,3.5469641469351445,2.7292753415401476,1.564456626979984,A,A,A,A,A,A,A,B,C,B,C,C,C,C,C,C,D,C,A,A,A,A,A,A
2023-11-07,1.739534329858218,1.170175583762418,1.4821284708143332,1.4702733855678105,2.136710012732293,3.356769610755147,7.20789829225331,14.019226814106952,16.544612199767993,15.67416116768993,14.933455592760945,16.30458346990279,17.0807485381881,20.359991748657244,20.606262716143924,21.865563766498386,25.327772916787783,16.875538920626386,8.820147482253377,4.735008445676544,4.716725908784777,3.3146516376009876,2.8253572381297856,1.5021818096413857,A,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,B,A,A,A,A,A,A
2023-11-08,1.4625871714814167,1.1023606632358525,1.300395658404,1.3663495286384686,2.3154647772568504,3.458161695881424,7.245678299895805,13.454432337418234,15.697616589387483,17.06118139989353,16.454791253227558,17.697732981680574,19.441901133648102,21.1735976832166,21.593228470880494,21.267448944875596,22.676369883578428,17.624077775295717,10.814868658986342,5.636665609452318,5.214105573404296,4.6293971329982275,2.8623960177822334,2.910485179059515,A,A,A,A,A,A,A,B,B,B,B,B,C,C,C,C,C,B,A,A,A,A,A,A
2023-11-09,1.6713227152497414,0.8424837206965929,1.3691542037835107,1.2819331227539088,1.9970002928320874,3.567200423526855,6.816575515770923,14.858370488402283,16.283870210120806,16.337119218324478,19.231424261434256,18.794923789051744,19.34036808870888,20.257483190256043,24.86895283918574,26.3602100451552,26.712119622495297,20.325207019392675,11.215025986698913,6.452784293169862,4.17531441923346,3.2528067811969286,2.9742505862589694,2.4468671142257463,A,A,A,A,A,A,A,B,B,B,C,C,C,C,C,D,D,C,B,A,A,A,A,A
2023-11-10,1.2019584784232693,1.5419867652095902,1.4058200894832795,1.9617778971080189,1.853445132627826,3.3157195621119615,6.79103579013672,13.82515281582112,16.313043643355417,18.83741225384134,25.14288986168171,23.193285624101726,22.82690767831081,26.323062779618677,26.886202134161888,27.184056363912187,43.36294633838611,19.381458081703247,12.862196153262095,6.481642869704824,5.390651873246707,4.603226203294854,3.4055052857460533,2.7121485018782896,A,A,A,A,A,A,A,B,B,C,C,C,C,D,D,D,F,C,B,A,A,A,A,A
2023-11-11,2.255041775096881,1.5651243743035088,2.361488759684329,1.2094560821571214,1.1317952151052615,1.1017791294460575,2.146117833225422,4.447872974429702,8.33835153615573,14.274852040151822,18.850586118711384,19.082803436563907,17.298763109318877,18.051506556198568,18.457776498185822,20.53282990194186,21.309974761626414,13.469107056423978,7.533222963442652,6.449007349084997,8.673903197157864,10.147082594246458,9.491203549083954,9.42260250490891,A,A,A,A,A,A,A,A,A,B,C,C,B,C,C,C,C,B,A,A,A,A,A,A
