,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category,LOS Category
 Local Time,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
Local Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-01,1.1429450069772058,0.7083998813500214,0.9955681505774863,1.2394470260544412,2.792107345417985,5.291579099295546,12.151668422086654,20.905310975057706,23.778000956043396,17.574051118060677,17.480817707414637,14.673321317645108,14.959459016642299,15.095539058494092,16.44390766785795,16.484201371283774,15.081091363230033,15.429596018519105,11.945588536110078,7.422821540975641,4.259416309432474,4.031633700673828,2.48523573038585,1.3397084672611501,A,A,A,A,A,A,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A
2024-02-02,0.8745573301461416,0.6207220779001487,0.7264519568484171,1.032734437150308,1.984497145836794,4.572257477274257,11.16877127273023,18.750552586763067,21.679131794902815,17.009650145453996,17.509017802124152,18.034086342429557,17.101424870066094,17.933594376210916,18.600557966955602,17.89969367907041,17.98284900550953,16.25329459796696,11.52304360278714,6.885553768082022,4.219964441586455,3.2799604797470683,3.1786814533549697,1.9512537329413673,A,A,A,A,A,A,B,C,C,B,B,C,B,B,C,B,B,B,B,A,A,A,A,A
2024-02-03,1.0973995422968168,0.6148738632343391,0.691013215484698,0.5903530190094559,1.4862020429087,2.7739760036980217,4.841849883496758,7.307477656745534,9.448838486681655,12.497244589793153,14.547320143338231,15.444954885957547,14.621286484558155,13.258159718942144,12.30183765985928,11.534638104727764,11.23816188460497,12.463234102400857,11.291028845938698,5.348786862510099,3.550992698058995,2.658160582966815,2.3930220656726178,1.6703347007264275,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A
2024-02-04,0.9146645349740993,0.637905520115965,0.6732800123833075,0.675907791420091,1.0450023879784305,1.5928354224205998,3.0361337111624267,4.572637770883336,5.47945923217293,8.657204681670255,10.316925865201437,12.820526629123068,14.38659784903273,12.764962548045183,11.55672811509689,10.585448588536877,11.471329394812052,9.57383216904127,7.642213541249866,5.617096249945921,3.716353873246433,2.6647098440051162,1.644854917131572,1.0395109793123647,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,A,A,A,A,A,A,A
2024-02-05,0.7221367302644286,0.8039076628538936,0.5814538327224607,1.5477848722901155,2.87632627152202,6.0656961420336595,12.638727742548417,22.271072432904493,23.79077892427706,16.91156961279118,16.36781419868261,14.351743764171813,15.011846127503054,14.517343319993184,14.727580644920875,14.177253437224213,16.95922388700633,17.52335814898279,11.867584965765118,7.221789109958042,4.636381106360321,2.689331345609741,2.5742605413609074,1.1689475221627037,A,A,A,A,A,A,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A
2024-02-06,0.9473829826818744,0.6044987204501577,0.8328234154368286,1.0325035418516926,2.158539947008375,5.301923288525987,11.314555111204967,21.48350223646807,24.253133584896048,17.76330395826276,14.964066630792795,13.840111614091663,14.184079390013903,13.864882695836451,14.365699314105525,15.515754789651403,15.421548684684778,15.12738895180539,11.84085453291229,6.5129400187905455,3.9956036819778915,2.9582028043978696,2.289010481842289,1.8941684312661495,A,A,A,A,A,A,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A
2024-02-07,0.8733033828533944,0.7852024335032918,0.7393821632782308,1.0655065285849636,1.927457326782986,5.08559020899831,10.650694526652735,21.217970497986812,23.372440444808962,18.79492823527316,15.905744704081103,13.916249972242873,15.1355749229499,14.49174591432297,15.864469328909436,15.616689120470909,16.027720867261188,15.707166156383694,12.263373248841468,6.176492563580573,4.851879806970463,3.267035257442345,2.5495768366820752,1.6189718792131267,A,A,A,A,A,A,A,C,C,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A
2024-02-08,0.6906023991754925,0.6788493986072093,0.7733673268335001,1.5467111929896316,2.355793146015,4.709210878973689,10.839861033022167,20.75986113264523,22.866605771219213,15.927470383154711,15.867887531901587,14.022011466786692,14.85904843212405,14.851365565044942,15.774078174505837,14.379494613536925,15.183717715215318,15.887983396990222,10.896728196204798,6.612441182591378,4.304964934032798,3.999724739099087,2.976288593244418,1.7098610891013877,A,A,A,A,A,A,A,C,C,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A
2024-02-09,1.5854323452133834,1.7344118525742875,1.8165510953637218,1.8198563852571887,3.337544641392151,6.681207630882887,13.310811425798306,21.36461731595266,25.782472964293138,20.9039791278892,21.160293221288278,20.170471856013886,21.92920538607191,21.721880873629484,19.4590698079545,17.18641448649015,17.134726324076777,14.944376594691324,11.037174100215971,6.701936156278126,4.455511661186508,3.863953679864034,3.39653536122716,2.106318691344881,A,A,A,A,A,A,B,C,C,C,C,C,C,C,C,B,B,B,B,A,A,A,A,A
2024-02-10,1.086224888531614,0.6460736037243364,0.6373957118243728,0.7659778773693879,1.4285666157580166,2.490281621497197,3.7697843446718418,6.182536838940745,9.848418919374412,11.30971270564699,15.348152831351367,14.73124419262454,13.802131933830816,13.133068658070773,12.656786073719392,11.02325706500059,11.058250220482684,9.872601126999038,8.65663917573586,5.541565462648282,4.095828803993237,3.277290063346392,3.0917996546293973,2.3963949803026536,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A
2024-02-11,1.3255816522095685,0.8925875706356785,0.7408541096127887,0.6288764555495645,0.9016412091787088,1.8419050284399359,2.38534824554317,4.557877775850522,5.633419566336143,8.325107434059076,11.51861861915136,14.773869790793404,14.454453189274881,12.699820018655883,12.442601734576089,11.0538758269917,11.150678399634023,9.898203640593174,8.011079972635414,5.081084892605476,3.4033465544720953,2.408506719673554,2.069449537870149,1.1046025152360779,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,A,A,A,A,A,A,A
