Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles
00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
66.29562542,66.63116576,65.14919592,64.49054266,65.83736431,68.35081,66.27232401,67.71390472,68.53411445,68.26071121,68.45644307,69.00324955,69.58267801,68.91159733,68.39275254,68.54032816,67.19350651,66.69485629,66.7632071,68.01837652,66.50999841,67.79623638,66.49135728,63.96393074,138,160,38,28,28,34,44,92,144,277,588,674,782,754,757,787,766,532,430,308,190,133,101,64
64.22335313,64.14412833,64.08820494,59.89239726,62.32817158,62.66526535,66.06416472,67.47312346,67.49953173,66.76631395,67.16865167,67.59273738,67.74497328,66.20086634,65.75192579,65.18803161,64.40510415,65.66804071,67.6952636,66.88592787,64.94569692,64.25442168,65.33560722,61.92583386,34,58,61,54,56,97,320,619,684,693,942,1036,1108,1036,1122,972,850,868,454,345,223,174,100,67
61.75495684,59.05199299,58.73198692,60.46716544,59.14675206,63.65945895,65.25172214,67.29137245,67.71079787,66.38417079,66.31426655,67.21059422,66.5488341,66.18843892,66.55815467,65.68978869,66.12474839,65.96319193,65.68978869,66.22572118,65.4925034,64.49054266,67.67817589,64.33675334,57,30,40,49,75,153,368,784,909,892,958,964,917,1087,1018,1007,952,898,520,342,228,191,122,73
61.86680362,59.48539926,58.44926312,60.80581263,62.09360403,61.86680362,65.66804071,67.48244403,67.50263859,66.6560206,66.54728067,66.27077058,66.36552966,65.90571511,66.2661103,66.03309617,65.46143485,66.30494598,66.93253069,66.80825649,65.59347619,63.04896194,67.13913655,66.56126152,58,38,41,56,96,162,405,780,903,870,891,914,980,988,1040,1049,1059,941,556,338,232,174,144,103
63.54605874,61.29824915,57.73468646,60.68619871,61.26562717,64.11305978,64.86336526,67.32088757,66.79272222,66.8424319,66.52553269,66.58145608,66.92321013,66.63427261,66.04707702,66.10921412,65.27813041,66.38106393,67.44982205,66.64670003,66.57368894,66.29096514,66.60320406,66.50844499,42,45,52,77,93,137,397,699,824,858,1015,1062,1060,1172,1152,1145,1066,960,649,429,305,202,137,98
65.77056692,64.54025234,60.44075717,59.25859884,60.21706361,63.41867769,64.63035114,66.1760115,66.12940868,65.35269493,64.96278462,64.95501749,65.30453867,64.97676547,64.60238944,66.18222521,65.99426048,65.45366771,67.16243796,66.56126152,65.42725945,64.67384711,62.74759701,65.02492172,44,39,26,69,69,177,510,1152,1160,979,902,910,922,980,1099,1027,1113,1032,537,307,212,166,113,48
61.48776731,58.3016875,61.6570909,58.9059708,57.78905643,63.08313735,65.42415259,66.56436838,66.50223128,66.23659517,65.04666971,64.94103664,64.61792372,64.77015961,64.73909106,66.54728067,66.00047419,66.70883713,66.93719098,65.67114756,66.47892986,66.49446414,66.16358408,62.35924013,50,48,45,72,68,176,531,1240,1182,942,964,920,957,901,974,1066,1206,1019,644,341,251,231,140,66
59.82715331,60.04463316,56.54631443,57.98634172,58.73198692,62.04389435,64.71578965,66.15737037,66.90146214,65.70221611,65.51425139,64.71578965,64.7468582,64.85559813,64.84006385,65.88396713,64.94103664,66.11698126,65.82959717,66.60475749,65.96008508,64.82918986,65.88707399,64.29636423,46,46,38,54,97,192,510,1193,1277,1002,855,864,962,981,1003,1108,1214,1094,595,356,265,179,151,64
62.02836008,61.47533989,59.92967952,63.05672908,60.22327732,62.44001836,64.65365255,66.26300344,66.88903472,66.21329376,65.52667881,65.32628666,65.09327253,64.51850436,64.7919076,65.58415562,65.66027357,66.24746917,66.55970809,66.9667061,66.00979476,65.26880984,66.08746613,64.79346103,52,57,38,36,89,166,466,1193,1280,1031,923,874,964,1039,1074,1234,1234,1086,696,433,273,190,158,60
59.62210088,63.29129663,62.4027361,59.42636901,57.63682053,61.94447499,65.17871105,66.51310527,66.84709218,66.35931594,66.3453351,66.02688246,65.88552056,66.85796617,66.44941474,66.99932808,66.61718491,67.30379987,68.63353381,67.24632305,67.62846621,66.45407502,67.60982508,65.77833406,58,38,58,56,90,159,457,1050,1040,964,903,994,1117,1128,1133,1229,1171,1056,670,435,266,198,144,99
62.58759398,60.34910495,58.18984072,56.53699386,59.26325913,64.08199123,65.25327557,65.98183306,66.76631395,66.20086634,66.06105787,66.02532903,64.95346406,64.69559509,64.85093784,65.45211429,66.03775645,65.30298525,66.36086937,65.26414956,66.1138744,63.20430469,64.36160818,62.31419074,45,28,34,64,97,172,517,1250,1194,1029,954,936,923,930,1023,1073,1187,1008,642,349,238,173,107,65
63.67033294,61.76893768,57.79371671,58.11993649,58.67606353,63.12041961,65.76124636,66.48203672,68.00128881,65.97872621,65.70532297,65.62454474,64.47811524,64.52937835,64.86491869,66.09523327,66.66378774,65.48784312,67.48865774,65.26725641,67.12670913,66.02688246,66.34222824,62.08117661,67,37,29,50,102,187,489,1270,1156,963,897,846,963,946,1003,1132,1128,1000,619,275,194,185,146,74
63.19032384,56.54320757,56.99370155,56.82593138,60.5665848,63.50722306,63.89247308,64.98142575,65.55308707,64.28082995,65.09327253,66.24746917,66.00979476,65.7410518,66.15426352,66.37795708,66.00202762,65.25948928,65.91192883,65.10880681,65.78765463,64.13791462,64.97987233,64.07577752,53,38,41,40,72,196,463,1148,1130,968,850,823,1002,938,959,1068,1204,1071,678,362,261,207,163,67
62.66526535,60.65357674,59.39374704,60.51842855,61.48310702,61.75029655,64.07111724,65.93212338,66.76942081,65.33094694,65.85911229,66.3002857,66.06261129,66.03154274,65.31230581,66.79116879,66.95272525,66.32980082,66.98068695,67.11583514,65.88862741,65.22220702,66.37174337,64.86802555,48,52,37,50,90,171,466,1175,1125,968,908,912,931,1021,1047,1179,1232,1068,665,389,242,224,158,82
62.73516959,60.84309489,60.01667146,60.38483378,59.44345672,62.62642966,65.35580178,66.20241977,67.28515874,66.18999235,66.1418361,66.27387743,66.79582907,67.51506601,67.64710734,68.26692492,67.14845712,66.68087544,67.95779284,67.76516783,67.64244706,67.26962446,68.93645217,67.33486842,66,36,48,65,110,176,439,1040,1048,951,910,969,1052,1078,1133,1220,1185,1017,708,380,265,187,195,86
60.35687208,60.90367856,64.28859709,62.65439136,61.21747092,63.51654362,65.68046813,66.91233614,68.26381806,67.14068998,66.60320406,66.7523331,66.72437141,65.67425442,66.02843589,66.06416472,67.08632002,66.11542783,66.02066875,66.31581998,66.28785828,64.45947411,65.05599027,61.82486107,61,60,47,89,102,279,614,1333,1291,1065,1086,1047,1159,1179,1159,1238,1242,1029,628,386,253,210,122,71
66.21795404,61.42563021,59.17937404,61.50174815,60.72348098,63.70450835,66.40281192,67.62691279,67.88944203,65.98338649,65.26570299,64.12859406,63.19032385,64.00276643,64.39733701,66.70883713,66.78806194,65.30919896,65.71930382,64.68627453,61.62446893,66.16513751,63.88936622,61.67262518,68,63,48,57,117,221,495,1243,1215,1093,959,867,948,947,1070,1059,1116,1175,697,413,284,230,154,111
59.76501621,58.95412705,57.88226208,57.85740724,59.45899099,60.66755759,63.73247004,65.88552056,68.25294407,66.12940868,65.62143788,65.36356892,65.88396713,65.20822617,64.79656788,65.81406289,67.19350651,66.18222521,67.37059725,67.28360531,67.27583817,66.68242886,65.40240461,63.19964441,96,83,70,86,131,278,588,1433,1280,1145,1126,1081,1081,1063,1188,1288,1223,1172,774,398,292,230,147,69
60.77474408,57.61041226,59.36267848,58.70402522,58.46324396,63.54139846,65.08395197,67.13292284,66.63116576,66.00047419,65.82959717,65.03268886,64.82142272,65.77522721,65.43502658,65.99581391,66.45718188,66.81913049,67.03971719,67.15156397,67.94070514,66.22727461,66.38572421,66.78495508,51,38,32,57,101,194,557,1178,1198,976,1051,989,1069,1027,1049,1143,1328,1116,729,409,280,238,158,84
62.82682181,57.73934675,56.34747571,60.15181966,60.50910798,59.33471679,64.64433199,68.0572122,67.97954083,66.97758009,67.18884623,67.44205491,67.44516177,67.6673019,67.62691279,68.41605396,67.36749039,66.31271312,67.6222525,67.92672429,67.27428474,66.49135728,68.76712857,66.99311437,52,43,36,61,94,192,466,1028,1043,1003,925,1028,1083,1215,1197,1278,1173,1085,709,437,284,208,227,88
65.19113847,60.16269365,57.37739814,61.51883586,64.66607997,62.33749215,64.32587935,65.2097796,66.52863954,64.69404166,64.96899833,64.79967474,65.38842376,63.58955471,63.76353859,63.87383195,64.34296705,62.12777944,63.83654969,63.91266763,64.38024931,62.62953652,64.91928865,62.554972,36,49,37,71,75,175,539,1270,1217,992,975,1004,983,970,1028,1005,1208,1017,593,335,229,168,90,61
62.3235113,59.15917948,58.17275302,59.07995468,59.13277122,60.89125115,64.7639459,67.39545209,68.40828682,67.19972022,66.73835226,66.0346496,66.39970506,66.35310224,66.27232401,66.67155487,67.78070211,66.70107,67.85526663,67.54924141,67.4979783,67.5880771,66.6389329,62.07030262,53,36,38,66,91,178,505,1288,1187,991,937,973,980,970,1094,1140,1269,1118,644,368,256,231,101,81
61.60738122,60.03220574,62.04855463,65.80474233,61.79379252,63.14372102,66.68708915,67.94225857,69.09800863,66.43388047,66.41989962,66.06727157,65.33560722,65.54998022,65.20977959,64.62413743,64.30102451,62.98061113,65.04822314,65.57638849,65.97095907,65.16162334,64.70336223,64.28082995,53,53,37,55,101,182,492,1333,1235,1072,983,960,994,1109,1137,1149,1364,1266,852,523,328,270,170,114
62.62325527,60.62649307,59.65985592,60.20152934,60.46378842,62.86126738,65.14683201,66.72599238,67.3363543,66.23105687,66.08280585,66.0311375,65.92617983,65.74577962,65.68688446,66.25692481,66.16513751,65.84573931,66.73328673,66.45907301,66.14919799,65.42901549,66.02161431,64.15669083,57.73913043,51.08695652,42.2173913,59.2173913,88.86956522,176.2608696,462.5217391,1077.869565,1074.869565,944.5217391,934.8695652,941.173913,997.2608696,1019.956522,1063.434783,1112.869565,1151.73913,1027.304348,638.6521739,376.4347826,254.3913043,199.9565217,141.2173913,78.04347826
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
