Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles
00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
66.29562541749999,66.6311657575,65.1491959225,64.4905426625,65.83736430500001,68.35081,66.272324005,67.71390472499999,68.534114445,68.260711205,68.45644307,69.00324954999999,69.5826780075,68.9115973275,68.39275254249999,68.540328155,67.1935065125,66.694856285,66.763207095,68.018376515,66.50999841250001,67.7962363825,66.49135728249999,63.963930739999995,138.0,160.0,38.0,28.0,28.0,34.0,44.0,92.0,144.0,277.0,588.0,674.0,782.0,754.0,757.0,787.0,766.0,532.0,430.0,308.0,190.0,133.0,101.0,64.0
64.2233531325,64.14412833,64.08820494,59.8923972625,62.328171582500005,62.66526535,66.06416472000001,67.4731234625,67.49953173,66.76631395,67.1686516725,67.59273738,67.744973275,66.20086634,65.7519257925,65.18803161,64.40510415,65.6680407075,67.695263595,66.88592786750002,64.94569691999999,64.25442168250001,65.3356072225,61.92583386,34.0,58.0,61.0,54.0,56.0,97.0,320.0,619.0,684.0,693.0,942.0,1036.0,1108.0,1036.0,1122.0,972.0,850.0,868.0,454.0,345.0,223.0,174.0,100.0,67.0
61.754956835,59.051992985,58.731986920000004,60.4671654375,59.1467520625,63.65945895,65.2517221375,67.29137244500001,67.71079787,66.384170785,66.3142665475,67.210594215,66.5488341,66.18843892,66.558154665,65.6897886925,66.12474839250001,65.9631919325,65.6897886925,66.22572118,65.4925034,64.4905426625,67.67817589250001,64.33675334,57.0,30.0,40.0,49.0,75.0,153.0,368.0,784.0,909.0,892.0,958.0,964.0,917.0,1087.0,1018.0,1007.0,952.0,898.0,520.0,342.0,228.0,191.0,122.0,73.0
61.866803615,59.4853992575,58.449263115,60.80581263249999,62.093604029999995,61.866803615,65.6680407075,67.4824440275,67.502638585,66.6560205975,66.5472806725,66.2707705775,66.365529655,65.90571511499999,66.266110295,66.03309617000001,65.46143485,66.3049459825,66.9325306925,66.8082564925,65.5934761875,63.0489619425,67.13913655,66.56126152,58.0,38.0,41.0,56.0,96.0,162.0,405.0,780.0,903.0,870.0,891.0,914.0,980.0,988.0,1040.0,1049.0,1059.0,941.0,556.0,338.0,232.0,174.0,144.0,103.0
63.5460587425,61.29824915,57.734686464999996,60.686198714999996,61.265627172500004,64.11305978,64.8633652625,67.3208875675,66.79272221749999,66.8424318975,66.5255326875,66.5814560775,66.9232101275,66.6342726125,66.0470770175,66.10921411749999,65.278130405,66.38106393000001,67.44982205000001,66.64670003250001,66.57368894,66.290965135,66.6032040625,66.508444985,42.0,45.0,52.0,77.0,93.0,137.0,397.0,699.0,824.0,858.0,1015.0,1062.0,1060.0,1172.0,1152.0,1145.0,1066.0,960.0,649.0,429.0,305.0,202.0,137.0,98.0
61.643110055,62.5239034475,60.478039429999995,62.481960905,63.261781510000006,60.6846452875,62.996145407499995,64.87268582749999,68.6133392475,68.9954824125,68.8463533725,69.0514058025,69.0545126575,68.66770921,68.490618475,67.9857545375,65.73483809,65.713090105,66.4043653425,66.88748129500001,64.70491565750001,66.601650635,67.32244099500001,68.645961225,66.0,44.0,45.0,56.0,66.0,75.0,158.0,246.0,426.0,616.0,789.0,963.0,808.0,688.0,642.0,757.0,804.0,638.0,401.0,286.0,216.0,167.0,131.0,77.0
65.2113330225,66.0905729875,60.7592098075,60.69551928,62.98837827,62.4928348975,63.93596904500001,65.51580481250001,68.68013663,66.62029176499999,67.8490529175,68.5139198875,68.2622646325,68.1473109975,67.6005045175,67.521279715,65.824936885,65.47852255250001,65.3262866575,65.95231794,64.33675334,64.346073905,65.1429822125,62.478854049999995,55.0,26.0,33.0,48.0,47.0,46.0,105.0,156.0,280.0,376.0,656.0,796.0,804.0,837.0,760.0,899.0,825.0,598.0,458.0,314.0,266.0,165.0,112.0,55.0
65.77056692250001,64.54025234250001,60.44075717,59.2585988425,60.21706361,63.4186776875,64.6303511375,66.1760115,66.12940867500001,65.352694925,64.96278462250001,64.955017485,65.3045386725,64.97676547,64.6023894425,66.18222521,65.9942604825,65.4536677125,67.16243796250001,66.56126151999999,65.427259445,64.6738471075,62.747597007500005,65.0249217225,44.0,39.0,26.0,69.0,69.0,177.0,510.0,1152.0,1160.0,979.0,902.0,910.0,922.0,980.0,1099.0,1027.0,1113.0,1032.0,537.0,307.0,212.0,166.0,113.0,48.0
61.487767305,58.3016875025,61.657090902499995,58.9059708,57.7890564275,63.0831373475,65.42415259,66.564368375,66.50223127500001,66.23659517249999,65.0466697075,64.9410366375,64.6179237175,64.77015961250001,64.7390910625,66.5472806725,66.00047419250001,66.70883713250001,66.937190975,65.67114756250001,66.4789298625,66.4944641375,66.16358407999999,62.359240132500005,50.0,48.0,45.0,72.0,68.0,176.0,531.0,1240.0,1182.0,942.0,964.0,920.0,957.0,901.0,974.0,1066.0,1206.0,1019.0,644.0,341.0,251.0,231.0,140.0,66.0
59.8271533075,60.044633157499995,56.54631442749999,57.986341720000006,58.731986920000004,62.04389435,64.71578965,66.15737037000001,66.9014621425,65.7022161125,65.514251385,64.71578965,64.7468582,64.855598125,64.84006385,65.88396713,64.9410366375,66.11698125500001,65.8295971675,66.60475749,65.9600850775,64.82918985749998,65.887073985,64.296364225,46.0,46.0,38.0,54.0,97.0,192.0,510.0,1193.0,1277.0,1002.0,855.0,864.0,962.0,981.0,1003.0,1108.0,1214.0,1094.0,595.0,356.0,265.0,179.0,151.0,64.0
62.02836007500001,61.475339885,59.9296795225,63.05672908,60.223277319999994,62.440018362500005,64.65365255,66.26300344,66.8890347225,66.21329376,65.526678805,65.3262866575,65.09327253250001,64.5185043575,64.7919075975,65.58415562249999,65.66027357,66.24746916500001,66.55970809249999,66.9667060975,66.0097947575,65.26880984,66.0874661325,64.793461025,52.0,57.0,38.0,36.0,89.0,166.0,466.0,1193.0,1280.0,1031.0,923.0,874.0,964.0,1039.0,1074.0,1234.0,1234.0,1086.0,696.0,433.0,273.0,190.0,158.0,60.0
59.6221008775,63.29129663250001,62.4027361025,59.426369012500004,57.636820532499996,61.94447499,65.178711045,66.5131052675,66.84709218,66.35931594499999,66.3453350975,66.02688246,65.8855205575,66.8579661725,66.44941474000001,66.99932807500001,66.61718490999999,67.303799865,68.633533805,67.2463230475,67.6284662125,66.45407502249999,67.60982508250001,65.77833405999999,58.0,38.0,58.0,56.0,90.0,159.0,457.0,1050.0,1040.0,964.0,903.0,994.0,1117.0,1128.0,1133.0,1229.0,1171.0,1056.0,670.0,435.0,266.0,198.0,144.0,99.0
63.021000247500005,66.45562845,61.98797096,64.669186825,65.00783401999999,64.84317070499999,65.9600850775,67.1437968325,69.198981415,69.89181008000001,68.155078135,68.1752726925,68.1007081725,68.9115973275,69.621513695,68.65528179,67.17641881,67.03971719,68.4051799625,67.3239944225,67.7372061375,65.9476576575,66.1433895225,70.29414780249999,62.0,44.0,30.0,55.0,62.0,65.0,142.0,252.0,410.0,602.0,729.0,875.0,1009.0,1070.0,1063.0,1077.0,950.0,612.0,452.0,282.0,223.0,164.0,120.0,95.0
66.1030004075,67.285158735,63.748004317500005,60.23570474,59.841134155000006,62.581380265,66.508444985,67.89720917,68.68013662999999,68.2886729,68.9861618475,68.80441083,68.60557211,68.32284830500001,68.15818499,67.4606960425,66.83155790500001,66.5037847025,66.3981516325,66.70728370500001,67.4389480575,65.80474232750001,66.10455383500002,63.960823884999996,64.0,33.0,26.0,44.0,35.0,47.0,103.0,182.0,254.0,421.0,757.0,917.0,936.0,880.0,940.0,985.0,919.0,652.0,458.0,338.0,218.0,212.0,101.0,74.0
62.587593975000004,60.3491049475,58.18984072250001,56.5369938625,59.263259125000005,64.08199123,65.253275565,65.9818330625,66.76631395,66.20086633999999,66.061057865,66.0253290325,64.9534640575,64.6955950925,64.8509378425,65.45211428500001,66.0377564525,65.302985245,66.36086937249999,65.26414955749999,66.1138744,63.2043046925,64.36160818,62.314190735,45.0,28.0,34.0,64.0,97.0,172.0,517.0,1250.0,1194.0,1029.0,954.0,936.0,923.0,930.0,1023.0,1073.0,1187.0,1008.0,642.0,349.0,238.0,173.0,107.0,65.0
63.6703329425,61.76893768250001,57.793716710000005,58.119936485,58.67606353,63.1204196075,65.7612463575,66.4820367175,68.00128881250001,65.97872620749999,65.7053229675,65.6245447375,64.4781152425,64.52937835,64.86491869000001,66.09523327,66.663787735,65.4878431175,67.4886577375,65.2672564125,67.12670913000001,66.02688246000001,66.3422282425,62.08117661,67.0,37.0,29.0,50.0,102.0,187.0,489.0,1270.0,1156.0,963.0,897.0,846.0,963.0,946.0,1003.0,1132.0,1128.0,1000.0,619.0,275.0,194.0,185.0,146.0,74.0
63.190323844999995,56.54320757250001,56.99370154750001,56.8259313775,60.5665847975,63.507223055000004,63.892473075000005,64.9814257525,65.55308707249999,64.28082995,65.0932725325,66.247469165,66.0097947575,65.74105180000001,66.15426351500001,66.377957075,66.00202761999999,65.259489275,65.911928825,65.1088068075,65.78765462500002,64.13791462,64.979872325,64.07577752,53.0,38.0,41.0,40.0,72.0,196.0,463.0,1148.0,1130.0,968.0,850.0,823.0,1002.0,938.0,959.0,1068.0,1204.0,1071.0,678.0,362.0,261.0,207.0,163.0,67.0
62.66526535,60.6535767375,59.393747035000004,60.518428545,61.4831070225,61.750296552500004,64.0711172375,65.93212338250001,66.76942080500001,65.33094694,65.85911229,66.30028569999999,66.06261129250001,66.0315427425,65.31230581,66.79116879,66.95272524999999,66.3298008225,66.980686945,67.1158351375,65.88862741250001,65.222207015,66.371743365,64.868025545,48.0,52.0,37.0,50.0,90.0,171.0,466.0,1175.0,1125.0,968.0,908.0,912.0,931.0,1021.0,1047.0,1179.0,1232.0,1068.0,665.0,389.0,242.0,224.0,158.0,82.0
62.735169587499996,60.843094892500005,60.0166714625,60.38483378000001,59.443456715,62.626429662499994,65.35580178000001,66.20241976749999,67.285158735,66.18999234750001,66.141836095,66.2738774325,66.7958290725,67.515066005,67.6471073425,68.266924915,67.148457115,66.6808754375,67.9577928425,67.7651678325,67.64244706,67.26962446,68.9364521675,67.334868415,66.0,36.0,48.0,65.0,110.0,176.0,439.0,1040.0,1048.0,951.0,910.0,969.0,1052.0,1078.0,1133.0,1220.0,1185.0,1017.0,708.0,380.0,265.0,187.0,195.0,86.0
65.5561939275,64.252868255,61.4489316175,63.6330506825,63.0210002475,62.59070083,65.7022161125,67.38923837749999,68.0789601875,68.4020731075,67.701477305,67.577203105,68.9240247475,68.360130565,68.8059642575,69.03121124500001,67.61603879249999,67.0226294875,66.924763555,66.986900655,66.2645568675,65.4723088425,65.98804677250001,68.5993584,87.0,54.0,45.0,58.0,48.0,90.0,144.0,250.0,517.0,607.0,840.0,965.0,928.0,934.0,881.0,852.0,767.0,592.0,367.0,281.0,189.0,156.0,161.0,102.0
65.3449277875,67.07544602249999,70.1527859,69.67277680250001,65.48628969,61.4333973425,65.02026144,68.12090273,68.7034380425,68.95820015250001,69.54073546500001,68.6257666675,68.403626535,67.8801214675,67.3208875675,66.7973825,66.31271312,64.8695789725,64.10063236,64.768606185,62.95730972,63.6641192325,63.30527748,65.2610427025,65.0,19.0,38.0,33.0,32.0,38.0,101.0,148.0,278.0,448.0,755.0,919.0,1022.0,928.0,825.0,722.0,661.0,542.0,454.0,336.0,198.0,148.0,97.0,95.0
60.35687208499999,60.90367856499999,64.2885970875,62.6543913575,61.21747092,63.51654362000001,65.6804681275,66.912336135,68.26381806,67.1406899775,66.6032040625,66.75233310249999,66.7243714075,65.6742544175,66.0284358875,66.06416472,67.086320015,66.1154278275,66.02066875,66.31581997500001,66.28785828000001,64.4594741125,65.0559902725,61.8248610725,61.0,60.0,47.0,89.0,102.0,279.0,614.0,1333.0,1291.0,1065.0,1086.0,1047.0,1159.0,1179.0,1159.0,1238.0,1242.0,1029.0,628.0,386.0,253.0,210.0,122.0,71.0
66.2179540425,61.425630205,59.17937404,61.5017481525,60.723480975,63.7045083475,66.402811915,67.626912785,67.8894420325,65.98338649,65.265702985,64.12859405500001,63.190323845,64.0027664275,64.3973370125,66.70883713250001,66.788061935,65.309198955,65.719303815,64.6862745275,61.624468925,66.16513750749999,63.88936622,61.672625177499995,68.0,63.0,48.0,57.0,117.0,221.0,495.0,1243.0,1215.0,1093.0,959.0,867.0,948.0,947.0,1070.0,1059.0,1116.0,1175.0,697.0,413.0,284.0,230.0,154.0,111.0
59.765016207500004,58.9541270525,57.8822620775,57.8574072375,59.458990990000004,60.667557585,63.7324700425,65.8855205575,68.2529440675,66.129408675,65.62143788249999,65.3635689175,65.88396713,65.2082261675,64.79656788,65.8140628925,67.1935065125,66.18222521,67.3705972475,67.28360530750001,67.27583817,66.68242886499999,65.402404605,63.199644410000005,96.0,83.0,70.0,86.0,131.0,278.0,588.0,1433.0,1280.0,1145.0,1126.0,1081.0,1081.0,1063.0,1188.0,1288.0,1223.0,1172.0,774.0,398.0,292.0,230.0,147.0,69.0
60.7747440825,57.610412264999994,59.362678484999996,58.704025224999995,58.4632439625,63.541398459999996,65.0839519675,67.13292283999999,66.6311657575,66.0004741925,65.8295971675,65.03268886000001,64.82142272,65.775227205,65.4350265825,65.99581391,66.4571818775,66.819130485,67.03971719,67.15156397,67.94070514,66.2272746075,66.38572421250001,66.78495508,51.0,38.0,32.0,57.0,101.0,194.0,557.0,1178.0,1198.0,976.0,1051.0,989.0,1069.0,1027.0,1049.0,1143.0,1328.0,1116.0,729.0,409.0,280.0,238.0,158.0,84.0
62.82682181,57.7393467475,56.3474757075,60.151819655,60.509107979999996,59.33471679,64.64433198500001,68.0572122025,67.9795408275,66.97758008999999,67.18884623,67.4420549125,67.4451617675,67.6673019,67.626912785,68.416053955,67.3674903925,66.31271312,67.62225250249999,67.9267242925,67.2742847425,66.4913572825,68.76712857,66.993114365,52.0,43.0,36.0,61.0,94.0,192.0,466.0,1028.0,1043.0,1003.0,925.0,1028.0,1083.0,1215.0,1197.0,1278.0,1173.0,1085.0,709.0,437.0,284.0,208.0,227.0,88.0
64.58064145750001,64.31811221,62.09360403,64.1052926425,59.977835775,62.72740245,66.0874661325,66.83621818750001,69.1694662925,68.4952787575,68.3430428625,68.2746920525,68.7251860275,68.552755575,69.1787868575,67.9950751025,67.894102315,67.1903996575,68.242070075,67.53060028000002,66.7119439875,65.9196959625,66.2956254175,67.4451617675,52.0,46.0,42.0,64.0,71.0,80.0,172.0,264.0,428.0,674.0,872.0,1043.0,1060.0,985.0,954.0,951.0,865.0,751.0,459.0,299.0,222.0,161.0,182.0,100.0
67.5352605625,70.35473147500001,62.98993169749999,67.66574847250001,63.364307725,63.8381031125,65.52667880499999,65.2299741525,68.69877776,69.459957235,69.26111851499999,68.4704239175,68.16439869999999,68.602465255,68.1690589825,68.64906808,68.61489267500001,67.54302770000001,67.60827165500001,68.00905595,68.32750858749999,67.07078574,68.23119608249999,65.0777382575,65.0,40.0,36.0,46.0,49.0,68.0,96.0,151.0,283.0,495.0,723.0,1034.0,1059.0,1011.0,1004.0,1005.0,923.0,662.0,530.0,370.0,268.0,196.0,108.0,72.0
65.191138465,60.16269364749999,57.37739814,61.518835855,64.66607997,62.3374921475,64.3258793475,65.209779595,66.5286395425,64.69404166499999,64.96899833250001,64.799674735,65.38842375750001,63.589554712500004,63.7635385925,63.873831945,64.34296705,62.127779435,63.836549685,63.9126676325,64.38024931000001,62.6295365175,64.91928865250001,62.554971997500004,36.0,49.0,37.0,71.0,75.0,175.0,539.0,1270.0,1217.0,992.0,975.0,1004.0,983.0,970.0,1028.0,1005.0,1208.0,1017.0,593.0,335.0,229.0,168.0,90.0,61.0
62.3235113,59.15917948250001,58.17275302,59.07995468000001,59.132771215,60.891251145,64.7639459025,67.39545208749999,68.4082868175,67.1997202225,66.73835225500001,66.03464959749999,66.39970506,66.35310223500001,66.272324005,66.6715548725,67.7807021075,66.70106999500001,67.8552666275,67.54924141,67.4979783025,67.58807709749999,66.63893289500001,62.070302617500005,53.0,36.0,38.0,66.0,91.0,178.0,505.0,1288.0,1187.0,991.0,937.0,973.0,980.0,970.0,1094.0,1140.0,1269.0,1118.0,644.0,368.0,256.0,231.0,101.0,81.0
61.60738122250001,60.0322057375,62.0485546325,65.80474232750001,61.7937925225,63.143721019999994,66.6870891475,67.9422585675,69.09800862750001,66.433880465,66.4198996175,66.06727157499999,65.3356072225,65.5499802175,65.20977959499999,64.62413742749999,64.3010245075,62.9806111325,65.048223135,65.576388485,65.97095907,65.16162334250001,64.70336223,64.28082995,53.0,53.0,37.0,55.0,101.0,182.0,492.0,1333.0,1235.0,1072.0,983.0,960.0,994.0,1109.0,1137.0,1149.0,1364.0,1266.0,852.0,523.0,328.0,270.0,170.0,114.0
