Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Avg Speed in mph,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles,Total number of vehicles
00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00
55.3641561,54.3870502,55.66241418,53.82315602,58.66829639,58.97121476,54.52685868,55.67794846,56.78088198,54.51909154,53.87131227,51.50854905,49.7267677,52.5229372,50.86387663,53.77499977,51.74000974,53.6243173,54.11986067,56.19679324,55.505518,55.10162685,56.29155232,55.18395851,46,44,13,14,25,35,70,92,144,287,578,859,790,582,481,428,403,282,207,149,136,82,53,44
54.95249781,53.22819329,55.54901397,55.66086075,56.73272573,56.60068439,54.92453612,49.61026064,51.49301477,46.95234619,47.47429783,49.26695316,50.56095827,49.96754897,49.54967697,49.28093401,50.70076675,52.1609886,52.29458336,55.12337484,55.24764904,55.8954283,55.87678718,55.04415004,34,34,38,41,42,83,183,412,518,564,783,800,840,759,764,788,719,597,424,276,181,126,105,57
56.70010375,58.58596474,54.95871152,52.42196441,56.87408763,56.18747268,53.61188988,48.42033518,49.90541187,48.47781199,47.53332807,46.95700647,49.45181104,48.39703376,50.30464273,50.08716288,49.76871025,51.41378997,52.82896242,53.20955216,55.07832544,56.43136079,57.57002315,57.98634172,45,31,24,51,85,147,316,612,801,776,858,850,842,794,653,660,672,582,414,271,193,139,101,60
56.02280936,54.19908548,56.0647519,56.78088198,57.36341729,57.20962797,55.77892124,50.32017701,48.78073036,49.14112554,48.43897631,49.79667194,48.25411843,48.05217286,49.55744411,49.20326264,50.91669317,51.77107829,52.82740899,54.65423973,55.77426096,56.51835273,57.166132,55.67639503,47,33,22,48,90,115,289,677,832,727,999,808,754,748,666,666,692,626,435,286,206,153,91,90
56.28533861,54.10587982,55.80688294,56.0305765,58.89665024,54.74123167,52.69692108,50.70076675,50.42425665,48.79626463,47.4898321,50.26425362,46.64476754,48.90345113,49.85880904,47.75702163,48.72325354,50.12910543,53.83247659,53.04644227,54.68996857,54.74433853,54.90434156,57.07447978,36,41,46,56,77,134,295,598,679,789,836,795,851,789,796,788,808,692,424,329,208,147,151,71
54.89657442,57.85740724,53.72373666,55.42318635,54.1043264,55.97620654,54.65579316,51.90311963,52.60216201,50.97261656,49.06034731,48.72014668,50.54076371,48.75276866,,51.48058735,50.62930908,50.6696982,52.17652287,53.20333845,56.38320454,55.86902004,55.21347363,58.27993952,43,36,28,46,58,63,145,263,369,533,790,904,770,362,0,309,556,443,311,215,148,144,110,64
57.42089411,56.53233358,57.71759876,52.71090193,54.78006736,55.27095045,55.02706233,52.7714856,55.00376092,52.32254506,49.80599251,50.35745927,47.15895205,49.17996122,50.78931211,51.5908807,50.0825026,51.00523854,52.92682835,55.12648169,52.47478095,55.86902004,55.34396154,53.97849877,46,22,21,24,39,53,84,199,239,469,708,844,816,741,602,531,565,393,309,266,167,122,102,54
58.38557259,55.02706233,57.5560423,54.10743325,56.62087895,55.05657745,51.83321539,47.85178071,48.77296322,48.86927572,49.43006305,50.54387057,51.2180581,50.21143708,49.53258927,50.85766292,51.04562765,52.04448153,52.49031523,54.40724476,55.05813088,55.0705583,56.73427915,57.20962797,43,35,35,62,123,251,454,918,1011,887,700,652,655,605,572,679,702,610,428,289,149,123,104,64
57.97702115,54.96492523,52.83206928,56.46708963,55.87523375,54.92453612,53.11789994,47.73993393,50.48018004,50.43047036,49.15510638,50.32483729,50.97727684,50.29687559,51.07824963,51.59398756,50.86076978,50.76290385,52.31477792,55.37969038,54.57501493,54.57656836,55.35328211,54.76608651,43,30,32,46,100,167,378,951,948,838,674,676,613,573,602,633,663,648,438,300,171,127,101,72
