TMU ID, Legacy TMU ID, Site Name
C6E971CAD188789BE0433CC411ACCCEA,30014580,TMU Site 9782/1 on A69 eastbound between A68 near Corbridge (east) and B6528 near Throckley (west); GPS Ref: 406111;565188; Eastbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2024-01-01,00:14:00,14,4,4,0,0,0,103.21,15,126061401,19
2024-01-01,00:29:00,14,21,18,2,1,0,105.14,15,126061401,19
2024-01-01,00:44:00,14,47,44,3,0,0,111.38,15,126061401,19
2024-01-01,00:59:00,14,62,61,1,0,0,107.04,15,126061401,19
2024-01-01,01:14:00,14,67,65,2,0,0,107.95,15,126061401,19
2024-01-01,01:29:00,14,36,33,2,1,0,103.48,15,126061401,19
2024-01-01,01:44:00,14,30,27,3,0,0,110.94,15,126061401,19
2024-01-01,01:59:00,14,22,20,2,0,0,106.56,15,126061401,19
2024-01-01,02:14:00,14,11,11,0,0,0,107.87,15,126061401,19
2024-01-01,02:29:00,14,6,6,0,0,0,98.09,15,126061401,19
2024-01-01,02:44:00,14,9,9,0,0,0,100.48,15,126061401,19
2024-01-01,02:59:00,14,12,12,0,0,0,112.95,15,126061401,19
2024-01-01,03:14:00,14,6,6,0,0,0,105.47,15,126061401,19
2024-01-01,03:29:00,14,8,6,2,0,0,108.98,15,126061401,19
2024-01-01,03:44:00,14,5,4,1,0,0,91.82,15,126061401,19
2024-01-01,03:59:00,14,7,7,0,0,0,108.88,15,126061401,19
2024-01-01,04:14:00,14,8,7,1,0,0,108.37,15,126061401,19
2024-01-01,04:29:00,14,5,5,0,0,0,108.54,15,126061401,19
2024-01-01,04:44:00,14,5,5,0,0,0,96.88,15,126061401,19
2024-01-01,04:59:00,14,8,6,1,0,1,110.03,15,126061401,19
2024-01-01,05:14:00,14,4,4,0,0,0,115.11,15,126061401,19
2024-01-01,05:29:00,14,8,5,2,1,0,111.95,15,126061401,19
2024-01-01,05:44:00,14,10,10,0,0,0,107.55,15,126061401,19
2024-01-01,05:59:00,14,10,10,0,0,0,105.39,15,126061401,19
2024-01-01,06:14:00,14,10,10,0,0,0,108.64,15,126061401,19
2024-01-01,06:29:00,14,9,8,1,0,0,106.91,15,126061401,19
2024-01-01,06:44:00,14,13,11,1,1,0,107.92,15,126061401,19
2024-01-01,06:59:00,14,10,10,0,0,0,103.15,15,126061401,19
2024-01-01,07:14:00,14,20,19,0,1,0,110.39,15,126061401,19
2024-01-01,07:29:00,14,29,29,0,0,0,108.39,15,126061401,19
2024-01-01,07:44:00,14,24,21,1,1,1,105.74,15,126061401,19
2024-01-01,07:59:00,14,14,13,0,1,0,111.38,15,126061401,19
2024-01-01,08:14:00,14,30,29,0,0,1,109.48,15,126061401,19
2024-01-01,08:29:00,14,35,32,2,1,0,108.44,15,126061401,19
2024-01-01,08:44:00,14,36,32,2,2,0,109.39,15,126061401,19
2024-01-01,08:59:00,14,36,35,0,1,0,113.87,15,126061401,19
2024-01-01,09:14:00,14,34,31,2,0,1,111.40,15,126061401,19
2024-01-01,09:29:00,14,53,47,6,0,0,111.66,15,126061401,19
2024-01-01,09:44:00,14,64,61,2,1,0,105.69,15,126061401,19
2024-01-01,09:59:00,14,113,105,5,2,1,110.67,15,126061401,19
2024-01-01,10:14:00,14,103,99,3,0,1,108.21,15,126061401,19
2024-01-01,10:29:00,14,144,133,3,5,3,112.16,15,126061401,19
2024-01-01,10:44:00,14,151,144,7,0,0,109.71,15,126061401,19
2024-01-01,10:59:00,14,167,159,4,4,0,110.60,15,126061401,19
2024-01-01,11:14:00,14,170,162,7,1,0,110.83,15,126061401,19
2024-01-01,11:29:00,14,153,146,5,0,2,109.57,15,126061401,19
2024-01-01,11:44:00,14,164,157,4,3,0,113.63,15,126061401,19
2024-01-01,11:59:00,14,165,154,8,2,1,110.17,15,126061401,19
2024-01-01,12:14:00,14,178,170,5,1,2,112.87,15,126061401,19
2024-01-01,12:29:00,14,187,175,7,5,0,112.79,15,126061401,19
2024-01-01,12:44:00,14,220,208,8,3,1,110.72,15,126061401,19
2024-01-01,12:59:00,14,166,155,6,5,0,111.55,15,126061401,19
2024-01-01,13:14:00,14,161,152,5,3,1,109.40,15,126061401,19
2024-01-01,13:29:00,14,212,204,4,3,1,111.19,15,126061401,19
2024-01-01,13:44:00,14,177,167,8,2,0,112.68,15,126061401,19
2024-01-01,13:59:00,14,182,177,4,1,0,110.34,15,126061401,19
2024-01-01,14:14:00,14,204,194,7,2,1,111.60,15,126061401,19
2024-01-01,14:29:00,14,174,166,4,3,1,110.02,15,126061401,19
2024-01-01,14:44:00,14,178,174,3,0,1,110.58,15,126061401,19
2024-01-01,14:59:00,14,180,172,7,0,1,108.07,15,126061401,19
2024-01-01,15:14:00,14,197,191,3,3,0,110.87,15,126061401,19
2024-01-01,15:29:00,14,209,201,3,2,3,109.92,15,126061401,19
2024-01-01,15:44:00,14,195,187,7,0,1,110.22,15,126061401,19
2024-01-01,15:59:00,14,165,160,2,1,2,110.21,15,126061401,19
2024-01-01,16:14:00,14,224,217,6,0,1,109.01,15,126061401,19
2024-01-01,16:29:00,14,170,166,3,1,0,109.10,15,126061401,19
2024-01-01,16:44:00,14,185,177,6,1,1,106.43,15,126061401,19
2024-01-01,16:59:00,14,166,153,8,4,1,108.01,15,126061401,19
2024-01-01,17:14:00,14,133,128,3,1,1,107.00,15,126061401,19
2024-01-01,17:29:00,14,138,128,6,1,3,107.55,15,126061401,19
2024-01-01,17:44:00,14,149,143,3,2,1,106.78,15,126061401,19
2024-01-01,17:59:00,14,95,94,1,0,0,108.01,15,126061401,19
2024-01-01,18:14:00,14,123,113,5,4,1,105.46,15,126061401,19
2024-01-01,18:29:00,14,109,103,3,1,2,108.22,15,126061401,19
2024-01-01,18:44:00,14,93,88,2,1,2,107.08,15,126061401,19
2024-01-01,18:59:00,14,87,86,1,0,0,109.02,15,126061401,19
2024-01-01,19:14:00,14,89,82,5,0,2,108.81,15,126061401,19
2024-01-01,19:29:00,14,75,69,6,0,0,109.31,15,126061401,19
2024-01-01,19:44:00,14,68,67,1,0,0,111.94,15,126061401,19
2024-01-01,19:59:00,14,64,59,4,0,1,107.80,15,126061401,19
2024-01-01,20:14:00,14,44,38,3,2,1,107.37,15,126061401,19
2024-01-01,20:29:00,14,43,41,0,2,0,107.55,15,126061401,19
2024-01-01,20:44:00,14,46,45,0,0,1,105.90,15,126061401,19
2024-01-01,20:59:00,14,47,44,2,0,1,107.33,15,126061401,19
2024-01-01,21:14:00,14,41,39,1,0,1,104.73,15,126061401,19
2024-01-01,21:29:00,14,39,36,1,0,2,104.85,15,126061401,19
2024-01-01,21:44:00,14,25,23,2,0,0,117.45,15,126061401,19
