TMU ID, Legacy TMU ID, Site Name
C6E971CAD167789BE0433CC411ACCCEA,30014546,TMU Site 9755/1 on A1 southbound between A1068 and A697; GPS Ref: 418399;596771; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2024-02-01,00:14:00,3,10,7,2,0,1,84.38,15,120012604,19
2024-02-01,00:29:00,3,13,3,6,0,4,88.43,15,120012604,19
2024-02-01,00:44:00,3,8,4,0,1,3,83.93,15,120012604,19
2024-02-01,00:59:00,3,3,0,0,0,3,83.07,15,120012604,19
2024-02-01,01:14:00,3,4,2,0,0,2,90.75,15,120012604,19
2024-02-01,01:29:00,3,10,4,1,1,4,89.50,15,120012604,19
2024-02-01,01:44:00,3,4,3,0,0,1,85.11,15,120012604,19
2024-02-01,01:59:00,3,9,2,0,5,2,88.57,15,120012604,19
2024-02-01,02:14:00,3,7,3,0,1,3,88.63,15,120012604,19
2024-02-01,02:29:00,3,10,1,4,2,3,92.01,15,120012604,19
2024-02-01,02:44:00,3,14,6,4,1,3,90.08,15,120012604,19
2024-02-01,02:59:00,3,8,3,1,1,3,94.73,15,120012604,19
2024-02-01,03:14:00,3,11,7,0,0,4,92.15,15,120012604,19
2024-02-01,03:29:00,3,9,0,0,0,9,86.58,15,120012604,19
2024-02-01,03:44:00,3,7,2,2,1,2,92.04,15,120012604,19
2024-02-01,03:59:00,3,9,4,0,0,5,90.66,15,120012604,19
2024-02-01,04:14:00,3,10,2,0,0,8,86.70,15,120012604,19
2024-02-01,04:29:00,3,8,1,3,1,3,82.99,15,120012604,19
2024-02-01,04:44:00,3,14,7,1,0,6,95.13,15,120012604,19
2024-02-01,04:59:00,3,17,3,1,4,9,86.93,15,120012604,19
2024-02-01,05:14:00,3,19,9,1,1,8,85.93,15,120012604,19
2024-02-01,05:29:00,3,18,8,4,2,4,87.55,15,120012604,19
2024-02-01,05:44:00,3,29,11,3,3,12,89.87,15,120012604,19
2024-02-01,05:59:00,3,29,13,3,1,12,85.05,15,120012604,19
2024-02-01,06:14:00,3,42,30,5,2,5,92.02,15,120012604,19
2024-02-01,06:29:00,3,65,42,6,6,11,89.72,15,120012604,19
2024-02-01,06:44:00,3,82,59,10,2,11,86.92,15,120012604,19
2024-02-01,06:59:00,3,82,64,5,6,7,87.01,15,120012604,19
2024-02-01,07:14:00,3,114,84,16,7,7,84.02,15,120012604,19
2024-02-01,07:29:00,3,151,122,14,7,8,83.26,15,120012604,19
2024-02-01,07:44:00,3,121,100,9,4,8,85.08,15,120012604,19
2024-02-01,07:59:00,3,122,94,16,7,5,83.76,15,120012604,19
2024-02-01,08:14:00,3,165,130,10,14,11,81.99,15,120012604,19
2024-02-01,08:29:00,3,183,148,13,10,12,79.81,15,120012604,19
2024-02-01,08:44:00,3,144,113,11,9,11,81.11,15,120012604,19
2024-02-01,08:59:00,3,136,104,12,10,10,82.01,15,120012604,19
2024-02-01,09:14:00,3,139,109,8,9,13,82.60,15,120012604,19
2024-02-01,09:29:00,3,145,109,6,13,17,82.72,15,120012604,19
2024-02-01,09:44:00,3,122,86,8,9,19,83.10,15,120012604,19
2024-02-01,09:59:00,3,151,117,12,7,15,84.27,15,120012604,19
2024-02-01,10:14:00,3,148,115,17,7,9,85.03,15,120012604,19
2024-02-01,10:29:00,3,132,100,11,10,11,68.76,15,120012604,19
2024-02-01,10:44:00,3,154,112,13,15,14,80.47,15,120012604,19
2024-02-01,10:59:00,3,124,96,6,14,8,82.60,15,120012604,19
2024-02-01,11:14:00,3,134,86,19,13,16,82.77,15,120012604,19
2024-02-01,11:29:00,3,135,100,15,10,10,81.55,15,120012604,19
2024-02-01,11:44:00,3,147,111,17,11,8,76.49,15,120012604,19
2024-02-01,11:59:00,3,154,106,20,13,15,74.77,15,120012604,19
2024-02-01,12:14:00,3,156,116,14,13,13,80.32,15,120012604,19
2024-02-01,12:29:00,3,167,132,11,13,11,82.03,15,120012604,19
2024-02-01,12:44:00,3,164,130,10,12,12,82.43,15,120012604,19
2024-02-01,12:59:00,3,162,110,28,9,15,79.78,15,120012604,19
2024-02-01,13:14:00,3,177,111,25,17,24,76.48,15,120012604,19
2024-02-01,13:29:00,3,186,137,14,19,16,78.72,15,120012604,19
2024-02-01,13:44:00,3,208,157,22,16,13,76.84,15,120012604,19
2024-02-01,13:59:00,3,166,119,14,18,15,83.58,15,120012604,19
2024-02-01,14:14:00,3,156,114,25,8,9,81.38,15,120012604,19
2024-02-01,14:29:00,3,204,135,27,19,23,75.61,15,120012604,19
2024-02-01,14:44:00,3,195,138,22,18,17,80.52,15,120012604,19
2024-02-01,14:59:00,3,187,144,18,8,17,80.41,15,120012604,19
2024-02-01,15:14:00,3,224,169,18,11,26,80.56,15,120012604,19
2024-02-01,15:29:00,3,236,172,39,15,10,77.83,15,120012604,19
2024-02-01,15:44:00,3,243,184,33,13,13,78.48,15,120012604,19
2024-02-01,15:59:00,3,192,136,30,12,14,81.04,15,120012604,19
2024-02-01,16:14:00,3,232,171,33,13,15,77.59,15,120012604,19
2024-02-01,16:29:00,3,227,172,31,12,12,80.12,15,120012604,19
2024-02-01,16:44:00,3,216,162,35,8,11,77.79,15,120012604,19
2024-02-01,16:59:00,3,180,145,21,4,10,78.79,15,120012604,19
2024-02-01,17:14:00,3,165,131,23,3,8,74.46,15,120012604,19
2024-02-01,17:29:00,3,164,126,20,6,12,80.64,15,120012604,19
2024-02-01,17:44:00,3,169,142,12,7,8,79.53,15,120012604,19
2024-02-01,17:59:00,3,137,113,8,7,9,81.28,15,120012604,19
2024-02-01,18:14:00,3,134,112,8,6,8,84.21,15,120012604,19
2024-02-01,18:29:00,3,111,92,9,4,6,83.41,15,120012604,19
2024-02-01,18:44:00,3,88,71,13,0,4,85.67,15,120012604,19
2024-02-01,18:59:00,3,78,71,3,1,3,86.27,15,120012604,19
2024-02-01,19:14:00,3,50,44,2,1,3,83.67,15,120012604,19
2024-02-01,19:29:00,3,39,35,2,1,1,86.33,15,120012604,19
2024-02-01,19:44:00,3,47,42,2,2,1,89.65,15,120012604,19
2024-02-01,19:59:00,3,50,41,7,1,1,92.56,15,120012604,19
2024-02-01,20:14:00,3,39,34,3,1,1,88.86,15,120012604,19
2024-02-01,20:29:00,3,80,69,5,2,4,86.61,15,120012604,19
2024-02-01,20:44:00,3,42,39,1,1,1,88.23,15,120012604,19
2024-02-01,20:59:00,3,36,32,3,0,1,84.55,15,120012604,19
2024-02-01,21:14:00,3,53,40,9,1,3,89.52,15,120012604,19
2024-02-01,21:29:00,3,30,27,2,1,0,84.34,15,120012604,19
2024-02-01,21:44:00,3,13,12,1,0,0,86.92,15,120012604,19
2024-02-01,21:59:00,3,28,25,0,2,1,87.75,15,120012604,19
2024-02-01,22:14:00,3,21,19,2,0,0,91.21,15,120012604,19
2024-02-01,22:29:00,3,12,11,1,0,0,88.92,15,120012604,19
2024-02-01,22:44:00,3,24,14,1,1,8,90.18,15,120012604,19
2024-02-01,22:59:00,3,27,21,1,0,5,89.18,15,120012604,19
2024-02-01,23:14:00,3,32,18,4,2,8,90.12,15,120012604,19
2024-02-01,23:29:00,3,12,7,1,1,3,89.77,15,120012604,19
2024-02-01,23:44:00,3,13,8,0,1,4,90.18,15,120012604,19
2024-02-01,23:59:00,3,12,7,3,1,1,98.83,15,120012604,19
2024-02-02,00:14:00,4,5,4,1,0,0,87.33,15,120012604,19
2024-02-02,00:29:00,4,10,7,1,0,2,87.41,15,120012604,19
2024-02-02,00:44:00,4,6,4,0,0,2,87.61,15,120012604,19
2024-02-02,00:59:00,4,6,2,2,0,2,77.50,15,120012604,19
2024-02-02,01:14:00,4,8,4,0,1,3,90.81,15,120012604,19
2024-02-02,01:29:00,4,2,1,0,0,1,84.13,15,120012604,19
2024-02-02,01:44:00,4,5,3,0,0,2,95.66,15,120012604,19
2024-02-02,01:59:00,4,4,4,0,0,0,103.02,15,120012604,19
2024-02-02,02:14:00,4,1,1,0,0,0,98.00,15,120012604,19
2024-02-02,02:29:00,4,14,6,0,2,6,83.09,15,120012604,19
2024-02-02,02:44:00,4,9,5,1,0,3,97.21,15,120012604,19
2024-02-02,02:59:00,4,5,1,1,1,2,97.50,15,120012604,19
2024-02-02,03:14:00,4,14,3,5,3,3,89.22,15,120012604,19
2024-02-02,03:29:00,4,6,0,0,2,4,80.93,15,120012604,19
2024-02-02,03:44:00,4,16,5,0,3,8,92.65,15,120012604,19
2024-02-02,03:59:00,4,12,2,2,1,7,84.65,15,120012604,19
2024-02-02,04:14:00,4,18,5,2,1,10,81.85,15,120012604,19
2024-02-02,04:29:00,4,11,2,0,2,7,86.79,15,120012604,19
2024-02-02,04:44:00,4,17,8,4,0,5,93.11,15,120012604,19
2024-02-02,04:59:00,4,14,6,1,2,5,91.64,15,120012604,19
2024-02-02,05:14:00,4,17,5,1,3,8,84.83,15,120012604,19
2024-02-02,05:29:00,4,20,8,3,0,9,85.60,15,120012604,19
2024-02-02,05:44:00,4,21,8,2,2,9,88.77,15,120012604,19
2024-02-02,05:59:00,4,25,14,3,1,7,87.37,15,120012604,19
2024-02-02,06:14:00,4,44,25,5,5,9,88.28,15,120012604,19
2024-02-02,06:29:00,4,50,33,5,3,9,88.19,15,120012604,19
2024-02-02,06:44:00,4,61,44,3,3,11,85.18,15,120012604,19
2024-02-02,06:59:00,4,76,53,10,5,8,86.44,15,120012604,19
2024-02-02,07:14:00,4,102,77,9,3,13,84.90,15,120012604,19
2024-02-02,07:29:00,4,133,108,9,8,8,82.48,15,120012604,19
2024-02-02,07:44:00,4,120,95,9,4,12,82.82,15,120012604,19
2024-02-02,07:59:00,4,142,98,17,8,19,82.24,15,120012604,19
2024-02-02,08:14:00,4,167,139,13,7,8,86.26,15,120012604,19
